,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,76.546,37.177,23.978,17.386,13.438,0.2954305410385132,0.26630786061286926,0.1502286046743393,0.2804363965988159,0.18602097034454346
1,far_focus,76.844,35.965,22.409333333333333,15.707,11.7544,0.29418399930000305,0.29418399930000305,0.29418399930000305,0.29418399930000305,0.29418399930000305
2,fog_3d,78.19,36.301,20.82133333333333,13.2785,9.0308,0.19202333688735962,0.3383520543575287,0.021388962864875793,0.014138585887849331,0.00225457944907248
3,flash,68.854,33.164,20.786,14.1515,9.3204,0.4980890154838562,0.26369577646255493,0.1940983086824417,0.18659919500350952,0.16558615863323212
4,color_quant,80.474,40.072,25.958666666666666,17.7635,12.2532,0.41160672903060913,0.6814414858818054,0.2649563252925873,0.5079200863838196,0.33902016282081604
5,low_light,72.79,35.758,23.160666666666668,16.543,12.01,0.6789696216583252,0.8553733825683594,0.8357651233673096,0.1412532478570938,0.24944980442523956
6,xy_motion_blur,70.172,31.436,18.319333333333333,11.923,8.2004,0.18119843304157257,0.40797680616378784,0.17074520885944366,0.4029867649078369,0.05126260593533516
7,z_motion_blur,64.618,29.304,17.62,11.786,8.7872,0.4614607095718384,0.11357202380895615,0.08408821374177933,0.18008331954479218,0.27831682562828064
8,iso_noise,73.242,36.347,23.918666666666667,17.3125,12.7592,0.3267572820186615,0.8717222213745117,0.2927646338939667,0.5556321740150452,0.5967280268669128
9,bit_error,75.674,35.109,21.130666666666666,13.9555,7.7188,0.16067564487457275,0.16067564487457275,0.2344266027212143,0.1503235250711441,0.30756044387817383
10,h265_abr,80.992,39.781,25.106666666666666,16.4275,13.34,0.266124427318573,0.16962388157844543,0.39685750007629395,0.13898062705993652,0.39485642313957214
