,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,75.626,36.589,23.45,16.8835,12.9456,0.31007913406938314,0.25887517258524895,0.21398092526942492,0.33903064765036106,0.2913579000160098
1,far_focus,75.85,34.975,21.449333333333332,14.8185,10.972,0.2737671919167042,0.28459276631474495,0.2707108613103628,0.22623257245868444,0.27237201714888215
2,fog_3d,77.328,34.811,19.328666666666667,11.951,7.8896,0.22272537043318152,0.36884912429377437,0.21945854905061424,0.18955784500576556,0.1432698955759406
3,flash,65.04,30.96,19.1,12.5305,7.9068,0.25361440889537334,0.24494396476075053,0.21142776822671294,0.1753965272800997,0.1355122490786016
4,color_quant,79.936,39.698,25.806,17.6165,9.5432,0.2707511340267956,0.28121708799153566,0.1973657701164484,0.21871912479400635,0.2136224537389353
5,low_light,71.03,34.568,22.2,15.5885,10.6976,0.23031444381922483,0.35934177692979574,0.24467763723805547,0.19406345998868346,0.21645969804376364
6,xy_motion_blur,67.126,28.61,15.775333333333334,9.758,6.3888,0.24501054198481143,0.18057951657101512,0.17565487721003592,0.168738555861637,0.19338092440739274
7,z_motion_blur,59.962,26.295,15.176666666666666,9.871,7.2084,0.45549920620396733,0.27493345830589533,0.2681305077858269,0.2622245270758867,0.26341714011505246
8,iso_noise,68.776,33.449,20.844666666666665,13.522,7.6768,0.24830968491733074,0.17132300697267056,0.20649956399574876,0.2442417701240629,0.07458166405558586
9,bit_error,72.842,33.346,19.636,12.7115,6.662,0.2097298577427864,0.2905805865302682,0.20944636361673474,0.25081773567944765,0.18718150444328785
10,h265_abr,79.076,38.855,24.355333333333334,15.1445,12.3368,0.18470351584255695,0.21403319481760263,0.31083646789193153,0.3265494052320719,0.3341119294054806
