,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,62.138,29.36,18.375333333333334,12.9905,9.7588,0.16984571516513824,0.19001761078834534,0.21265946328639984,0.14769726991653442,0.0772705003619194
1,far_focus,62.64,27.451,16.178,10.915,7.914,0.14777855575084686,0.14777855575084686,0.14777855575084686,0.14777855575084686,0.14777855575084686
2,fog_3d,64.462,26.01,13.290666666666667,7.698,4.86,0.0649276077747345,0.07475089281797409,0.015224581584334373,0.013587789610028267,0.012730841524899006
3,flash,49.562,23.014,13.638,8.5215,4.922,0.168332040309906,0.10618957132101059,0.08981861174106598,0.21176141500473022,0.13529546558856964
4,color_quant,68.96,33.975,21.187333333333335,12.0865,4.2944,0.18899378180503845,0.12189553678035736,0.27526915073394775,0.07016079872846603,0.14009472727775574
5,low_light,50.76,24.159,14.928666666666667,9.864,5.9192,0.08397172391414642,0.2774477005004883,0.08134464174509048,0.14213913679122925,0.09432362765073776
6,xy_motion_blur,48.86,18.953,9.767333333333333,5.7115,3.6012,0.09487970918416977,0.0416845977306366,0.02811715006828308,0.022242344915866852,0.015266119502484798
7,z_motion_blur,40.75,16.881,9.331333333333333,5.8445,4.2244,0.22681115567684174,0.20206916332244873,0.18477852642536163,0.23885157704353333,0.31045350432395935
8,iso_noise,37.532,17.01,8.928,4.196,1.3148,0.11981967091560364,0.04649246856570244,0.11120563000440598,0.041297830641269684,0.06344399601221085
9,bit_error,59.45,26.306,14.874666666666666,9.1005,4.3104,0.23461095988750458,0.23461095988750458,0.16140948235988617,0.275797963142395,0.18579789996147156
10,h265_abr,66.196,32.214,19.495333333333335,11.216,9.222,0.11657420545816422,0.17478373646736145,0.08721902221441269,0.07991161942481995,0.06781837344169617
