,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,74.782,36.049,23.085333333333335,16.693,12.8504,0.24100297014229,0.219015825772658,0.20361095550470054,0.29574402002617717,0.18144488707184792
1,far_focus,75.48,34.949,21.579333333333334,15.028,11.2108,0.2504769170191139,0.2756038277875632,0.2608862321358174,0.2634546223562211,0.2836293706204742
2,fog_3d,77.502,35.299,19.854,12.3835,8.3188,0.23027561884373426,0.2270854222588241,0.16247219848446548,0.16253201814834028,0.12359059252776206
3,flash,64.342,30.537,18.912666666666667,12.5975,8.0028,0.31349356146529317,0.27262360136955976,0.22456115880049765,0.24917967431247234,0.3197049107402563
4,color_quant,79.392,39.481,25.458,17.238,10.5736,0.2108618589118123,0.3924991702660918,0.2974485936574638,0.34164847107604146,0.29001489747315645
5,low_light,70.618,34.362,22.032666666666668,15.444,10.712,0.45348120434209704,0.36213954724371433,0.3399566486477852,0.27497352100908756,0.21289502503350377
6,xy_motion_blur,67.152,29.361,16.819333333333333,10.62,7.0424,0.17653771117329597,0.20691711362451315,0.15006298758089542,0.20469911256805062,0.17632196261547506
7,z_motion_blur,60.582,27.066,15.889333333333333,10.3895,7.6356,0.33292357390746474,0.3090745157096535,0.2946972483769059,0.28402210236527026,0.3074845317751169
8,iso_noise,69.976,34.656,22.298666666666666,15.3985,9.4232,0.1818038998171687,0.27592619927600026,0.2921754859853536,0.15345346671529114,0.21764379227533937
9,bit_error,74.75,34.432,20.546,13.4205,7.1936,0.20657867472618818,0.3863039053976536,0.2742880266159773,0.31854468071833253,0.24287919327616692
10,h265_abr,80.346,39.25,24.462666666666667,15.659,12.726,0.18776735942810774,0.3661138564348221,0.39496585400775075,0.24071255698800087,0.3048504719045013
