,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,76.728,37.252,23.996666666666666,17.441,13.4548,0.29714192310348153,0.29898102954030037,0.23266284307464957,0.28174679074436426,0.32006376050412655
1,far_focus,77.03,36.016,22.425333333333334,15.723,11.7732,0.3566640689969063,0.24800644256174564,0.3382103946059942,0.23459867760539055,0.33109114598482847
2,fog_3d,77.97,35.612,20.06,12.593,8.4112,0.3077519051730633,0.19081807881593701,0.1575657508801669,0.1347929858820862,0.09172383377153892
3,flash,69.848,33.689,21.179333333333332,14.462,9.5836,0.35723509592935443,0.36959911650046706,0.2958489414304495,0.258172175148502,0.21418649447150528
4,color_quant,80.62,40.211,26.269333333333332,18.212,12.7132,0.2544636046513915,0.31359731405973434,0.23180375900119543,0.250756130553782,0.3269583652727306
5,low_light,74.114,36.291,23.458,16.707,12.0572,0.2534093982540071,0.3067361544817686,0.1838671714067459,0.11341095203533769,0.1414405412506312
6,xy_motion_blur,70.528,31.526,18.317333333333334,11.7925,8.0572,0.18259513657540083,0.1583066899329424,0.2226366070099175,0.19374497374519706,0.23378439340740442
7,z_motion_blur,63.762,28.849,17.128,11.356,8.4072,0.2549960887990892,0.3425542041659355,0.27284353924915195,0.31361318565905094,0.3293376467190683
8,iso_noise,74.616,36.914,24.223333333333333,17.4315,12.6096,0.20144182024523616,0.18942556343972683,0.20129296253435314,0.2926439761649817,0.2807883224450052
9,bit_error,74.822,34.525,20.553333333333335,13.4475,7.1848,0.24790525529533625,0.2243855120614171,0.227829709649086,0.210026775021106,0.29153722524642944
10,h265_abr,80.764,39.731,24.96,15.803,12.8044,0.24921808205544949,0.22378672659397125,0.28850418282672763,0.24615349248051643,0.27963690971955657
