,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,73.738,35.533,22.692666666666668,16.2715,12.4696,0.21664054691791534,0.24367212783545256,0.26364483684301376,0.196494422852993,0.18232506467029452
1,far_focus,74.494,34.125,20.896,14.349,10.6612,0.2654529483988881,0.35332796117290854,0.33266440872102976,0.2748155703302473,0.14928059373050928
2,fog_3d,75.826,34.237,19.09,11.8655,7.9112,0.14754247898235914,0.2706415317952633,0.17885595466941595,0.1547745006319019,0.1132820052880561
3,flash,64.39,30.687,18.994,12.594,8.054,0.2799865980632603,0.27413952304050326,0.20911528239957988,0.18095376901328564,0.13592469738796353
4,color_quant,78.752,39.143,25.416,17.3665,10.69,0.31361206714063883,0.22088844468817115,0.30821798578836024,0.2821194748394191,0.2829518779180944
5,low_light,69.528,33.687,21.629333333333335,15.128,10.388,0.30600995873101056,0.291613123845309,0.25301653682254255,0.26217455859296024,0.23501325701363385
6,xy_motion_blur,65.342,27.849,15.575333333333333,9.6285,6.2704,0.24902117671445012,0.28758798562921584,0.1421656005550176,0.20595167274586856,0.1731662463862449
7,z_motion_blur,57.578,25.088,14.329333333333333,9.206,6.6804,0.24230207270011306,0.32930822134949267,0.25533294514752924,0.36848300555720925,0.35608340823091567
8,iso_noise,67.082,32.628,20.279333333333334,13.2095,7.6772,0.18869299511425197,0.17428993829526007,0.2537709572352469,0.3248377270065248,0.11945331480819732
9,bit_error,72.028,32.839,19.292666666666666,12.3275,6.3588,0.2733720727264881,0.2341200658120215,0.18485521129332483,0.1504778084345162,0.28246935503557324
10,h265_abr,78.738,38.652,24.29,15.2695,12.4012,0.29682702338322997,0.2646303353831172,0.3088625476229936,0.28991720685735345,0.315230630338192
