,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,75.318,36.497,23.424,16.885,12.9544,0.31207887548953295,0.3390309135429561,0.3492647069506347,0.3104454390704632,0.31520184967666864
1,far_focus,75.07,34.452,21.058666666666667,14.5245,10.7392,0.2839191509410739,0.3591243354603648,0.4103609900921583,0.4147951239719987,0.35330921690911055
2,fog_3d,76.92,33.922,18.503333333333334,11.334,7.5136,0.3237142814323306,0.3037088082637638,0.2762161372229457,0.24731554894242436,0.11492637731134892
3,flash,60.124,28.07,16.859333333333332,10.7215,6.3644,0.3263167184777558,0.3255056906491518,0.3373693013563752,0.27985055558383465,0.3086625710129738
4,color_quant,79.594,39.508,25.334,15.98,7.224,0.3941559996455908,0.3271482717245817,0.3394158072769642,0.36477997805923223,0.2816396171692759
5,low_light,69.486,33.67,21.211333333333332,14.3095,8.7712,0.3768609073013067,0.3051892975345254,0.28136433893814683,0.19069601269438863,0.1964621536899358
6,xy_motion_blur,66.288,28.436,15.873333333333333,9.8805,6.5476,0.3187186112627387,0.26740455301478505,0.27475413074716926,0.21177956275641918,0.1326074874959886
7,z_motion_blur,61.6,27.371,16.07133333333333,10.5345,7.7184,0.36689085653051734,0.2570342165417969,0.2794582238420844,0.30618188669905066,0.3399190530180931
8,iso_noise,67.828,33.326,21.027333333333335,14.1175,8.992,0.24704108759760857,0.2027287082746625,0.1818258543498814,0.2509201264474541,0.13570003246422857
9,bit_error,71.602,32.634,19.251333333333335,12.37,6.4168,0.40608544927090406,0.4148056246340275,0.2625046174507588,0.3859823914244771,0.2706362798344344
10,h265_abr,78.48,38.726,24.36466666666667,15.206,12.4188,0.3180120876058936,0.3534652083180845,0.3501614334527403,0.30041342694312334,0.36500465380959213
