,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,80.2,39.143,25.348666666666666,18.5205,14.3712,0.7487650811672211,0.8659105449914932,0.15605933964252472,0.2758016884326935,0.32875341176986694
1,far_focus,80.312,37.868,23.652666666666665,16.724,12.5704,0.822588324546814,0.822588324546814,0.822588324546814,0.822588324546814,0.822588324546814
2,fog_3d,80.652,36.312,20.259333333333334,12.6605,8.4216,0.16241542994976044,0.08191471546888351,0.05038747563958168,0.17888818681240082,0.003535589901730418
3,flash,71.558,34.379,21.549333333333333,14.6155,9.564,0.8179460763931274,0.8539981991052628,0.8795982152223587,0.2194557636976242,0.2814618647098541
4,color_quant,83.628,41.648,27.133333333333333,18.4435,11.9392,0.15833944082260132,0.7822777181863785,0.15438944101333618,0.3369205594062805,0.07627114653587341
5,low_light,76.842,37.786,24.498,17.5725,12.7212,0.09255128353834152,0.03527505695819855,0.04474953934550285,0.09470231086015701,0.04446210339665413
6,xy_motion_blur,74.462,33.639,19.786666666666665,13.0125,9.018,0.06246665492653847,0.44935959577560425,0.1927069127559662,0.07988913357257843,0.06190020591020584
7,z_motion_blur,69.718,32.007,19.426,13.136,9.806,0.4326382875442505,0.3124946057796478,0.10463261604309082,0.21231751143932343,0.32185885310173035
8,iso_noise,74.15,36.59,23.652666666666665,16.794,11.9448,0.7537400126457214,0.28392982482910156,0.3256673812866211,0.2565000057220459,0.14172251522541046
9,bit_error,76.97,35.689,21.409333333333333,14.044,7.7272,0.8193015307188034,0.8193015307188034,0.7526054233312607,0.673172116279602,0.41534194350242615
10,h265_abr,82.598,40.896,26.001333333333335,16.886,13.6756,0.21197369694709778,0.2114643007516861,0.5733687281608582,0.08538118004798889,0.1308009773492813
