,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,67.474,33.155,21.766,16.0405,12.5788,0.058846451342105865,0.06562025845050812,0.0573190376162529,0.06221229210495949,0.058661673218011856
1,far_focus,66.364,31.431,19.828666666666667,14.114,10.7112,0.057065609842538834,0.057065609842538834,0.057065609842538834,0.057065609842538834,0.057065609842538834
2,fog_3d,67.548,31.15,17.828666666666667,11.3395,7.6544,0.10922200977802277,0.09438420087099075,0.12778350710868835,0.12296850234270096,0.30042678117752075
3,flash,60.642,29.302,18.567333333333334,12.783,8.5664,0.1967279314994812,0.15689924359321594,0.1227225735783577,0.35157257318496704,0.11788478493690491
4,color_quant,69.122,34.324,22.302,15.2135,9.2516,0.053777407854795456,0.05218665301799774,0.07673316448926926,0.3012849986553192,0.24395442008972168
5,low_light,64.402,31.706,20.497333333333334,14.69,10.6088,0.06576257199048996,0.23863646388053894,0.07000993937253952,0.1382930427789688,0.16347336769104004
6,xy_motion_blur,61.758,28.942,17.940666666666665,12.365,9.0588,0.054132502526044846,0.05085756629705429,0.0577063150703907,0.19268766045570374,0.30724549293518066
7,z_motion_blur,58.954,27.514,16.902666666666665,11.5065,8.6612,0.08105997741222382,0.11708328127861023,0.13861064612865448,0.09291817247867584,0.14343005418777466
8,iso_noise,65.396,32.401,20.892666666666667,14.0315,7.2104,0.07904335111379623,0.08705669641494751,0.09881966561079025,0.17173869907855988,0.25112125277519226
9,bit_error,61.088,27.432,15.928,9.9715,4.9436,0.09087169915437698,0.09087169915437698,0.06844867020845413,0.1723443865776062,0.12820051610469818
10,h265_abr,67.872,33.315,21.042666666666666,14.0005,11.2928,0.1008220985531807,0.09910570085048676,0.10671605169773102,0.06259704381227493,0.07476320117712021
