,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,80.176,39.165,25.423333333333332,18.5565,14.4104,0.4519530236721039,0.27798992395401,0.3422507345676422,0.18016712367534637,0.16373024880886078
1,far_focus,79.784,37.536,23.423333333333332,16.495,12.4464,0.5117388367652893,0.5117388367652893,0.5117388367652893,0.5117388367652893,0.5117388367652893
2,fog_3d,80.968,37.652,21.651333333333334,13.803,9.32,0.6428767442703247,0.8263087272644043,0.18056710064411163,0.18038199841976166,0.0012989550596103072
3,flash,72.212,34.797,21.968666666666667,14.995,9.9972,0.25945115089416504,0.8955413103103638,0.8579907417297363,0.9398906826972961,0.7751599550247192
4,color_quant,83.06,41.458,27.136,18.946,12.4684,0.3252410292625427,0.6939408183097839,0.2525619864463806,0.6478028893470764,0.8985596895217896
5,low_light,76.636,37.647,24.495333333333335,17.6165,12.9124,0.29407280683517456,0.6473476886749268,0.17961718142032623,0.24235695600509644,0.7112014889717102
6,xy_motion_blur,74.174,33.694,19.935333333333332,13.0535,9.0296,0.9551554918289185,0.8345716595649719,0.7916533946990967,0.4580439627170563,0.18313856422901154
7,z_motion_blur,68.18,30.976,18.558666666666667,12.408,9.244,0.651369035243988,0.25191983580589294,0.6262421607971191,0.45765772461891174,0.6204556822776794
8,iso_noise,72.826,35.813,22.776666666666667,14.8165,7.5572,0.652367353439331,0.5205901861190796,0.30229952931404114,0.20292706787586212,0.2732042968273163
9,bit_error,77.492,35.949,21.56,14.1785,7.7996,0.4913231134414673,0.4913231134414673,0.4671284556388855,0.46232539415359497,0.5010452270507812
10,h265_abr,83.454,41.082,26.067333333333334,16.908,13.7032,0.5182247161865234,0.4718311131000519,0.8016427755355835,0.24561600387096405,0.35719674825668335
