,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,near_focus,72.97,35.043,22.253333333333334,15.901,12.1056,0.18724255496636033,0.06869105948135257,0.16032506804913282,0.21554902149364352,0.2024746504612267
1,far_focus,73.354,33.377,20.176,13.8555,10.232,0.32485522236675024,0.2907220143824816,0.3280508075840771,0.2689607376232743,0.2767684869468212
2,fog_3d,74.838,33.436,18.589333333333332,11.553,7.6828,0.23137041134759784,0.22921126219443977,0.10534816310973837,0.17506247043638723,0.16947867585986387
3,flash,63.788,30.284,18.764666666666667,12.462,8.0128,0.29120771074667573,0.2002787294331938,0.24020253436174244,0.20274232886731625,0.16199727327330038
4,color_quant,77.886,38.683,24.879333333333335,16.5525,11.2824,0.21164924697950482,0.36024331068620086,0.24536733515560627,0.17466666689142585,0.3552236221730709
5,low_light,67.052,32.378,20.438666666666666,14.036,9.2564,0.31226617144420743,0.21884678676724434,0.279662421438843,0.2747725611552596,0.23494049767032266
6,xy_motion_blur,62.594,25.539,13.547333333333333,8.033,5.1004,0.19047149177640676,0.19604887906461954,0.2226582528091967,0.22482299525290728,0.19157750206068158
7,z_motion_blur,55.524,23.746,13.470666666666666,8.525,6.1788,0.2610489910002798,0.2738115629181266,0.2945227553136647,0.2153619728051126,0.23655405454337597
8,iso_noise,67.096,32.506,19.536,10.617,3.6784,0.2819816234987229,0.2296921072411351,0.17162509565241635,0.1957548272330314,0.09978223919461016
9,bit_error,71.47,32.617,19.182666666666666,12.3225,6.4064,0.22542209597304463,0.20856287004426122,0.2320276133250445,0.2600654202979058,0.11783142108470201
10,h265_abr,78.092,38.308,23.964,15.0665,12.2884,0.3567850033286959,0.2849976597353816,0.3050258494913578,0.2505702788475901,0.2077559654135257
