,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,63.752,31.274,20.176666666666666,14.4515,10.8332,0.303151817061007,0.1581032001413405,0.21004197152797133,0.12447847868315876,0.1765606062253937
1,contrast,61.178,29.619,18.514666666666667,11.4575,6.0636,0.3182382844388485,0.266658378764987,0.282058481592685,0.3363566631451249,0.31688556680455804
2,defocus_blur,59.102,28.013,16.253333333333334,10.2905,6.5652,0.1355381039902568,0.1693935898365453,0.10214505228213966,0.1417637049453333,0.11626109087956138
3,elastic_transform,59.182,19.461,19.529333333333334,12.9515,6.5344,0.25510137574747205,0.14429136272519827,0.1504449569620192,0.17519030789844692,0.21702092397026718
4,fog,52.964,23.791,13.698666666666666,9.724,5.7636,0.3621645199600607,0.40784206986427307,0.2789511320879683,0.09835638687945902,0.13095816550776362
5,frost,56.918,23.5,13.158666666666667,9.521,6.6324,0.1975591192021966,0.11479487363249063,0.12786482356023043,0.13438458205200732,0.1372641600901261
6,gaussian_noise,59.992,28.589,17.585333333333335,11.6805,7.6872,0.2817097813822329,0.35016792453825474,0.21888614585623145,0.24100245733279735,0.09486715903040022
7,glass_blur,58.954,26.319,11.111333333333333,7.1945,4.7368,0.23230481939390302,0.17924840818159282,0.1555078960955143,0.1529003008035943,0.13066575268749148
8,impulse_noise,58.414,27.703,17.616,11.7845,7.9996,0.3229446401819587,0.4050384433940053,0.37175586191006005,0.34594773151911795,0.2609719168394804
9,jpeg_compression,60.654,29.183,18.902,12.697,8.416,0.15339904534630477,0.20136525528505445,0.12367791379801929,0.18793814745731652,0.14910627400968224
10,motion_blur,61.814,29.289,17.473333333333333,10.569,6.8148,0.17863495042547584,0.14992194320075214,0.1553185466909781,0.139874471235089,0.12338826165068895
11,pixelate,63.072,31.442,20.052,13.4735,9.4372,0.25924455211497843,0.26549361506477,0.18785364390350878,0.15976234548725188,0.2492029182612896
12,shot_noise,60.156,28.547,17.590666666666667,11.384,7.972,0.3711054972372949,0.23793403641320765,0.27068682317622006,0.26314781699329615,0.10450736078200862
13,snow,53.128,20.037,13.750666666666667,8.175,5.7236,0.12986358627676964,0.11226648860611022,0.11535834253299981,0.1238780755084008,0.1332014692015946
14,zoom_blur,49.07,20.892,12.978666666666667,8.1655,5.456,0.1335146683268249,0.13260783231817186,0.1923104643356055,0.1598169873468578,0.11936729680746792
