,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.424,36.977,23.851333333333333,16.854,12.2116,0.3897419960703701,0.3781965305097401,0.24609211017377675,0.25824823253788054,0.21375624439679086
1,contrast,69.994,33.265,19.872,10.0295,2.8496,0.33327453047968447,0.3047044784761965,0.38003527163527906,0.22077230724971741,0.08618952753022313
2,defocus_blur,64.526,29.976,16.583333333333332,9.4045,5.0304,0.4022328113205731,0.3704655854962766,0.24218919570557773,0.19455612055025995,0.18951532850041986
3,elastic_transform,69.192,23.324,20.836,13.013,5.6592,0.242663714569062,0.3978914455510676,0.3845666581764817,0.3639213035348803,0.33530626771971583
4,fog,62.694,28.341,15.84,10.1455,4.7544,0.2593988459557295,0.24422658560797572,0.26596398279070854,0.3193929095286876,0.32625197479501367
5,frost,65.284,25.087,12.930666666666667,9.171,5.9504,0.28938737232238054,0.2570089311338961,0.2213765534106642,0.2571594826877117,0.2368025011382997
6,gaussian_noise,67.204,29.935,15.126,6.264,1.22,0.27081020502373576,0.23062330996617675,0.21641778433695436,0.26377182034775615,0.2433845829218626
7,glass_blur,60.03,24.324,8.499333333333333,5.231,3.0696,0.2679736129939556,0.31699673971161246,0.24711766559630632,0.1695717517286539,0.17440743593033403
8,impulse_noise,63.278,26.508,14.602,5.605,1.1668,0.2418514033779502,0.31098690209910274,0.30790958600118756,0.287705831695348,0.174368527950719
9,jpeg_compression,68.144,32.662,21.063333333333333,14.1575,9.5688,0.3820378826931119,0.2774765118956566,0.40291334269568324,0.34300744719803333,0.24272249173372984
10,motion_blur,71.662,33.71,19.393333333333334,10.34,5.7532,0.3345862531568855,0.2975799033883959,0.3078732641879469,0.2785195275209844,0.2805731351254508
11,pixelate,69.358,33.925,19.406,11.551,7.6964,0.3417899520136416,0.3854698925279081,0.34650874231010675,0.3300342536531389,0.29718114878050983
12,shot_noise,66.65,28.858,14.910666666666666,5.653,2.1632,0.31556792836636305,0.2524164589121938,0.25737131061032414,0.30296842323150486,0.20188796357251704
13,snow,61.06,20.562,14.521333333333333,7.7455,4.64,0.2691365908831358,0.19803305249661207,0.18740488169714808,0.18790054321289062,0.3117107858415693
14,zoom_blur,62.29,27.377,16.906666666666666,10.629,6.848,0.4151082953903824,0.374067822471261,0.3136021657846868,0.32999235950410366,0.30955557338893414
