,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,37.294,16.257,7.253333333333333,3.0845,1.2624,0.1229106970858993,0.09679716249229386,0.055331804062006995,0.04455871687969193,0.023311470868065953
1,contrast,69.094,35.064,23.221333333333334,16.135,9.6048,0.25106095999944955,0.21633934872807004,0.21094173562596552,0.27513409875973593,0.20185979758389294
2,defocus_blur,16.544,6.595,3.235333333333333,1.805,1.1524,0.0907744579599239,0.09006786055397242,0.09896020201267675,0.09763695008587092,0.09709065551578533
3,elastic_transform,23.566,5.716,7.657333333333334,4.311,1.3096,0.11563734627270605,0.05954199066036381,0.14175280208291952,0.18905964131408837,0.19076961735845543
4,fog,62.726,29.129,15.807333333333334,9.375,3.9608,0.22940046666190028,0.20617856970056891,0.22872479120269418,0.2911287951283157,0.17701663286425173
5,frost,19.296,4.916,2.1706666666666665,1.8685,1.1336,0.07678196355118416,0.08022032625740394,0.0639455329219345,0.08935937934438698,0.08316491183359176
6,gaussian_noise,27.14,12.621,7.870666666666667,5.529,3.1812,0.12059335119556636,0.1343798318412155,0.07238947489531711,0.1470276574837044,0.11770735424943268
7,glass_blur,19.17,7.0,2.2546666666666666,1.3235,0.8108,0.08824324488523416,0.06598343800578732,0.04580927130882628,0.0581702901981771,0.05459704103122931
8,impulse_noise,28.074,13.02,8.238666666666667,5.5105,3.292,0.15079861193953548,0.12078769758227281,0.1603642649424728,0.132845735817682,0.10784584062639624
9,jpeg_compression,24.654,10.837,6.552666666666667,3.6555,2.0368,0.09136152626888361,0.10447769922029693,0.14817460482299794,0.10596675043052528,0.09267348192224745
10,motion_blur,22.794,8.968,4.358,2.279,1.4112,0.09419308317592368,0.11637408431852236,0.13905458318185993,0.12434536741056945,0.13030688470462337
11,pixelate,23.806,9.807,5.673333333333333,2.8075,1.0116,0.09941152726241853,0.045470240263966843,0.10845173391862772,0.08604714101238642,0.05282532100682147
12,shot_noise,24.63,10.106,5.567333333333333,3.0265,1.6996,0.11425033838895615,0.09284289133211132,0.13683778277481906,0.08915278300992213,0.08725723274983466
13,snow,18.95,2.332,1.3766666666666667,0.327,0.1616,0.04867072348133661,0.05631918509607203,0.05594203239888884,0.03165610408177599,0.03736980751273222
14,zoom_blur,14.092,5.261,2.7306666666666666,1.6865,1.0312,0.11420886826817878,0.1066418324917322,0.10727614676579833,0.09543151274556294,0.10014525501173921
