,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,62.328,28.81,15.376666666666667,7.987,3.6084,0.1438049532007426,0.06653252971591428,0.06275572057347745,0.05093463452067226,0.039715685416013
1,contrast,76.186,38.152,25.218,17.92,11.922,0.26196048481506296,0.19175519840791821,0.17992243374465033,0.30000638400088064,0.18980213778559119
2,defocus_blur,44.034,19.215,10.138,5.933,3.748,0.12238887615967542,0.13206907801213674,0.15093165685539134,0.12173186673317105,0.11017463050666265
3,elastic_transform,51.71,16.283,15.865333333333334,9.6645,3.8512,0.16232063513598405,0.13722432788927108,0.20312818893580697,0.1499985307455063,0.1208442896604538
4,fog,77.188,37.221,22.548,15.123,8.778,0.31261723581701517,0.1861161831766367,0.3506014379672706,0.4526939666830003,0.3905120106646791
5,frost,39.83,10.405,4.618666666666667,3.792,2.4224,0.07408516178838909,0.07413836463820189,0.0425875480286777,0.055802772112656385,0.04702214943245053
6,gaussian_noise,50.64,23.558,14.891333333333334,10.3105,5.4192,0.1260533192253206,0.11410063577932306,0.14477330120280385,0.22193952125962824,0.13591597508639097
7,glass_blur,45.938,18.798,6.983333333333333,4.2525,2.5888,0.16187349052052014,0.15075247522327118,0.11812808606191538,0.14533931663027033,0.12112690313369967
8,impulse_noise,51.978,24.395,15.663333333333334,10.659,6.1452,0.13977148206322454,0.1998877531150356,0.20317522471304983,0.19255980430170894,0.16801506036426872
9,jpeg_compression,51.158,23.797,15.043333333333333,9.4775,5.902,0.20882803297718056,0.1840634101536125,0.20990613687899895,0.15693658785312437,0.10719364526448771
10,motion_blur,50.976,22.128,11.941333333333333,6.7895,4.3968,0.19288699256139807,0.18050870194565505,0.1553944878396578,0.16012966804555617,0.1717418304469902
11,pixelate,52.172,23.345,14.398,8.195,3.5608,0.18162909866077825,0.09868300647940487,0.20263650515698828,0.15253642422612756,0.08626270192326047
12,shot_noise,47.792,21.126,12.382,6.588,2.9852,0.12983911923947744,0.17802035750355572,0.08773072645999491,0.1366213812143542,0.09816578414756805
13,snow,44.714,8.529,5.748,1.6185,0.5424,0.050739132158923894,0.0350159807712771,0.0498049181769602,0.04854098183568567,0.017496961925644428
14,zoom_blur,37.862,15.535,8.555333333333333,5.349,3.2412,0.142466027115006,0.135250258812448,0.14058211026713252,0.13822533530765213,0.11219173137214966
