,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,85.676,42.634,28.268666666666668,21.0325,16.572,0.3232774119824171,0.25963971950113773,0.377447672188282,0.25216901674866676,0.20365512277930975
1,contrast,84.672,41.981,27.688666666666666,19.9935,14.5848,0.27989729307591915,0.24451555870473385,0.21856786869466305,0.25219941325485706,0.2607752999756485
2,defocus_blur,81.756,39.78,24.284666666666666,15.9495,10.5536,0.24201979581266642,0.24978430476039648,0.30530757643282413,0.1862300089560449,0.2014676642138511
3,elastic_transform,82.498,32.736,26.876,18.7665,11.2364,0.178292378783226,0.25783761497586966,0.2430419260635972,0.2231413838453591,0.39029730670154095
4,fog,83.68,41.49,27.212,20.12,15.4452,0.22198175638914108,0.341179296374321,0.24072642531245947,0.38952270871959627,0.4376125684939325
5,frost,83.892,40.541,26.049333333333333,19.441,14.9992,0.3750093374401331,0.2485251361504197,0.2879219437018037,0.21188357565551996,0.19186075264587998
6,gaussian_noise,84.194,42.428,27.874666666666666,19.976,14.3012,0.3427793993614614,0.2640262842178345,0.3171968003734946,0.19374305196106434,0.2337883086875081
7,glass_blur,82.318,39.639,22.111333333333334,15.15,9.4448,0.22520984942093492,0.13567325519397855,0.2044656736543402,0.2724220803938806,0.2434725477360189
8,impulse_noise,84.712,42.264,27.788666666666668,19.922,14.6404,0.2561817802488804,0.15972807630896568,0.27922667609527707,0.16148083098232746,0.29863047506660223
9,jpeg_compression,82.472,40.709,26.871333333333332,19.489,14.6508,0.24892203975468874,0.357269405387342,0.37006521318107843,0.25751188956201077,0.3440479445271194
10,motion_blur,84.526,41.48,26.42866666666667,18.036,13.12,0.1767423655837774,0.20334611181169748,0.2091484284028411,0.27027099672704935,0.2971333018504083
11,pixelate,84.592,41.799,27.502,19.755,14.586,0.23269032407552,0.26542873587459326,0.21234729420393705,0.41039032116532326,0.3175277216359973
12,shot_noise,84.14,42.149,27.72,19.5695,14.4776,0.34770448319613934,0.2615354051813483,0.1371810168493539,0.14413905516266823,0.29359728237614036
13,snow,84.268,40.712,27.290666666666667,19.8345,15.4996,0.2626283187419176,0.24307985417544842,0.25977319944649935,0.18164367880672216,0.31143188290297985
14,zoom_blur,81.166,38.811,24.359333333333332,17.1905,12.382,0.24859267752617595,0.229493273422122,0.2812549672089517,0.202886410523206,0.1570641454309225
