,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,81.284,40.344,26.585333333333335,19.5835,15.2016,0.24906853586435318,0.2529044235125184,0.28466698434203863,0.29124217946082354,0.32448975974693894
1,contrast,79.24,39.266,25.605333333333334,17.7585,11.3552,0.2257044706493616,0.29385025054216385,0.1777480011805892,0.27232470689341426,0.21485629864037037
2,defocus_blur,72.916,34.076,18.948666666666668,11.1295,6.3964,0.2533475016243756,0.2818020908161998,0.24722623359411955,0.31379051285330206,0.2634494034573436
3,elastic_transform,76.894,28.396,23.788,15.1595,6.5512,0.21982101537287235,0.3902051728218794,0.2530679451301694,0.38091864064335823,0.39618867449462414
4,fog,76.93,37.613,24.221333333333334,17.6575,12.576,0.2727749324403703,0.27729888865724206,0.1368665867485106,0.21764680230990052,0.22530931700021029
5,frost,77.0,35.034,21.154666666666667,15.5925,11.4456,0.3182275742292404,0.2892311131581664,0.29777533980086446,0.28499711910262704,0.3088317085057497
6,gaussian_noise,79.108,38.8,24.504,16.5035,10.118,0.2741889441385865,0.27103722374886274,0.2827236671000719,0.23091750708408654,0.23712776182219386
7,glass_blur,72.14,31.921,11.968,7.148,4.0688,0.28096712194383144,0.3524957923218608,0.41809602500870824,0.2830260065384209,0.3417032714933157
8,impulse_noise,78.062,37.331,23.972666666666665,15.93,10.1364,0.19887661887332797,0.32820586021989584,0.23624625196680427,0.21872709807939827,0.15303933480754495
9,jpeg_compression,75.82,36.823,23.910666666666668,16.5445,11.6016,0.4330454599112272,0.4722207132726908,0.49139750143513083,0.4715794390067458,0.28385245613753796
10,motion_blur,77.698,36.924,21.74,12.8905,8.388,0.3200650215148926,0.27494963351637125,0.39694835525006056,0.277484669117257,0.3404811988584697
11,pixelate,77.328,37.548,23.466666666666665,14.6855,9.108,0.24165841797366738,0.2447086814790964,0.32441208604723215,0.2738016815856099,0.2743187635205686
12,shot_noise,78.848,38.366,24.228,15.5025,10.1472,0.22823858261108398,0.27659888472408056,0.2540321764536202,0.16649447195231915,0.21397223765961826
13,snow,75.47,32.254,22.21066666666667,14.871,10.888,0.3004111861810088,0.15526899695396423,0.26508516259491444,0.23499540984630585,0.23628935124725103
14,zoom_blur,67.01,29.129,16.827333333333332,10.6925,6.716,0.32013988588005304,0.3572682896628976,0.4070362253114581,0.3991757924668491,0.2835055305622518
