,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,76.264,37.705,24.696666666666665,18.0025,13.786,0.2299882210791111,0.16901579359546304,0.21317309560254216,0.19145895866677165,0.23135074926540256
1,contrast,73.862,36.416,23.622,15.8615,9.3932,0.2818423598073423,0.21397744724526999,0.3291917257010937,0.10701054381206632,0.12430646759457886
2,defocus_blur,67.146,30.955,16.415333333333333,9.097,5.018,0.29740195348858833,0.13949194154702127,0.20359180634841323,0.2741199620068073,0.2621137355454266
3,elastic_transform,71.452,25.343,21.904,13.975,6.1672,0.27837432641536,0.34353272849693894,0.3115015756338835,0.25309745129197836,0.33785714907571673
4,fog,70.446,34.079,21.543333333333333,15.4975,10.66,0.17685812758281827,0.13681709254160523,0.24669504165649414,0.21715599671006203,0.14450082113035023
5,frost,70.632,31.316,18.455333333333332,13.5825,9.7992,0.15146090602502227,0.20173586905002594,0.1329978595022112,0.16149733285419643,0.18305449467152357
6,gaussian_noise,72.768,34.672,21.090666666666667,13.338,7.4316,0.2921712324023247,0.28229142469353974,0.14396238350309432,0.19170789793133736,0.1617117424029857
7,glass_blur,64.59,27.127,9.052666666666667,5.256,3.0588,0.2581128990277648,0.2492705243639648,0.26939096953719854,0.2646268643438816,0.2903968128375709
8,impulse_noise,70.41,32.752,20.47,12.764,7.5112,0.21406740648671985,0.275835418375209,0.2685026880353689,0.1819396282080561,0.2133374297991395
9,jpeg_compression,69.342,33.157,21.343333333333334,14.377,9.742,0.29978617769666016,0.2724804771132767,0.26531333406455815,0.36745825014077127,0.2457419685088098
10,motion_blur,71.934,33.316,18.498,10.0375,6.0352,0.32947015948593616,0.24615495605394244,0.2904332457110286,0.2071348747704178,0.280483674723655
11,pixelate,69.41,33.004,19.974,11.628,6.4484,0.29305991530418396,0.39046164276078343,0.2904456900432706,0.26346664782613516,0.20459853764623404
12,shot_noise,71.91,34.057,20.577333333333332,11.972,7.2376,0.2664582715369761,0.18344140774570405,0.20103581389412284,0.18638478114735335,0.10329428315162659
13,snow,67.446,26.943,18.963333333333335,12.213,8.7688,0.21586910309270024,0.16847711754962802,0.2549487971700728,0.11257496033795178,0.25006168289110065
14,zoom_blur,57.004,23.648,13.227333333333334,8.081,4.9076,0.24451410677284002,0.2147583281621337,0.2917294888757169,0.3562080189585686,0.3569791130721569
