,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,78.68,39.001,25.66,18.747,14.4516,0.45275711407884955,0.3717321949079633,0.33237285632640123,0.17966286791488528,0.2959563990589231
1,contrast,75.99,37.349,24.036,15.7265,8.2072,0.40808861423283815,0.2076312864664942,0.2903659539297223,0.29443699796684086,0.13425796222873032
2,defocus_blur,69.646,31.932,16.679333333333332,9.2605,5.142,0.30883544590324163,0.22539011156186461,0.19107646867632866,0.24182758142706007,0.238251585746184
3,elastic_transform,73.7,26.169,20.980666666666668,12.28,4.3716,0.19039814383722842,0.29653350263834,0.2854928388260305,0.39773625088855624,0.2542462982237339
4,fog,71.916,34.279,20.758,15.686,11.6528,0.162799718324095,0.1796613505575806,0.05443435697816313,0.1500252508558333,0.07453221583273262
5,frost,73.758,33.338,19.926,14.7455,10.7912,0.14517978462390602,0.28709429991431534,0.1919964866247028,0.18793277302756906,0.14698073430918157
6,gaussian_noise,75.506,36.54,22.273333333333333,14.0515,7.3356,0.24453912768512964,0.31534538324922323,0.21777977398596704,0.22842895716894418,0.1808938100002706
7,glass_blur,67.15,28.549,9.122,5.2075,2.7724,0.22398453950881958,0.21154360729269683,0.2790078960824758,0.23520697723142803,0.25953959370963275
8,impulse_noise,75.194,35.564,22.188666666666666,13.5665,7.4004,0.21821309719234705,0.1739138658158481,0.20482933754101396,0.14593161712400615,0.23705367022193968
9,jpeg_compression,72.916,35.243,22.792666666666666,15.665,10.7776,0.17982863122597337,0.260378940962255,0.23091025603935122,0.3141360189765692,0.23409277107566595
10,motion_blur,74.158,34.528,19.500666666666667,10.928,6.8236,0.2217348488047719,0.27331498032435775,0.2602143289986998,0.23432219587266445,0.27304009976796806
11,pixelate,71.8,32.503,20.191333333333333,11.7115,1.6976,0.2837954731658101,0.3225668747909367,0.3002340914681554,0.27413186291232705,0.1318252010969445
12,shot_noise,74.546,35.939,21.848666666666666,12.6935,7.4488,0.18608345929533243,0.1495439000427723,0.23219449911266565,0.22209639893844724,0.22703281417489052
13,snow,71.11,29.637,20.258666666666667,13.154,9.7624,0.12227506050840019,0.18110547168180346,0.18280348181724548,0.2267168357502669,0.2088507078588009
14,zoom_blur,61.3,26.146,14.694666666666667,9.169,5.7564,0.2390810213983059,0.18174866819754243,0.14020731300115585,0.18384132394567132,0.2335054944269359
