,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.22,38.252,25.145333333333333,18.3335,14.0184,0.3576381062157452,0.3290318939834833,0.366526179946959,0.25213745050132275,0.352705413242802
1,contrast,74.172,36.334,23.332,15.1625,7.6572,0.24145259032957253,0.3730839763302356,0.27628985175397247,0.2454584209190216,0.07113451426266693
2,defocus_blur,66.312,30.371,15.59,8.207,4.2908,0.26603940641507506,0.19318445911630988,0.18874345405492932,0.24272788711823523,0.16581547143869102
3,elastic_transform,71.762,25.092,19.322666666666667,10.837,3.7324,0.29105414915829897,0.24439879739657044,0.27905703289434314,0.2920510317198932,0.25449660420417786
4,fog,70.142,33.365,20.253333333333334,14.505,9.8528,0.2835387905361131,0.24084260035306215,0.038011447875760496,0.07297093793749809,0.03995695465710014
5,frost,72.078,32.117,19.070666666666668,14.0295,10.1204,0.18140344927087426,0.16585915395990014,0.1952457290608436,0.10455805761739612,0.073060919996351
6,gaussian_noise,74.038,35.322,21.276,12.904,5.8792,0.2646349286660552,0.2688539167866111,0.13914181618019938,0.1801195052685216,0.09052948118187487
7,glass_blur,64.046,26.264,6.858666666666666,3.8925,2.294,0.34722385834902525,0.28774607134982944,0.20137986610643566,0.22724570846185088,0.16808410664089024
8,impulse_noise,72.472,33.804,21.086666666666666,12.7035,6.1028,0.28448261599987745,0.20179480034857988,0.25935753295198083,0.20325515687000006,0.0932699310942553
9,jpeg_compression,70.294,33.798,21.72533333333333,14.3985,9.3836,0.2708616121672094,0.34545773500576615,0.3039799048565328,0.18321012612432241,0.24850720539689064
10,motion_blur,72.466,33.41,18.219333333333335,9.762,6.0116,0.3007633723318577,0.21026438241824508,0.17747348477132618,0.21081365086138248,0.2328632993157953
11,pixelate,68.638,30.587,17.740666666666666,9.1,2.198,0.2737473896704614,0.23662698781117797,0.3201602976769209,0.21958842896856368,0.15812633227324113
12,shot_noise,73.456,34.677,20.875333333333334,11.455,6.178,0.2563156080432236,0.311702124774456,0.2788592646829784,0.18723332276567817,0.1847668334376067
13,snow,69.618,28.987,19.590666666666667,12.5805,9.226,0.2912721976172179,0.2212174437008798,0.1512401970103383,0.16868290212005377,0.13950536982156336
14,zoom_blur,60.034,25.552,14.423333333333334,9.065,5.6184,0.3101408611983061,0.25120361475273967,0.3065178571268916,0.2578280600719154,0.2242754646576941
