,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,74.366,36.764,23.988666666666667,17.351,13.1084,0.1955950716510415,0.2680208534002304,0.23422506311908364,0.2072082948870957,0.22026105783879757
1,contrast,69.836,34.108,21.755333333333333,13.6555,6.2,0.20856552862096578,0.1785323673975654,0.23316633922513574,0.19779261914663948,0.09809468941239174
2,defocus_blur,59.6,26.328,12.616,6.2575,3.034,0.2597317644394934,0.2658415613695979,0.27254838461522013,0.18242980586364865,0.15379837655927986
3,elastic_transform,67.82,22.804,16.985333333333333,8.634,2.1684,0.19566116714850068,0.1794417391065508,0.3173033380880952,0.2879130723886192,0.2560989698395133
4,fog,65.778,30.98,18.27,12.3125,7.4904,0.10711392725352198,0.1153828704264015,0.06393489963375032,0.04990540607832372,0.0440166718326509
5,frost,68.07,29.427,16.85,12.3495,8.654,0.14195835404098034,0.15341295639518648,0.08560062432661653,0.11508364765904844,0.06281719089020044
6,gaussian_noise,68.422,31.881,17.986666666666668,9.6005,2.7484,0.3445785380899906,0.34208535496145487,0.11004859209060669,0.14468791405670345,0.1521931862225756
7,glass_blur,57.304,22.356,5.376666666666667,2.974,1.7448,0.2527895011007786,0.18246763455681503,0.1707460475154221,0.15739059424959123,0.16306567285209894
8,impulse_noise,67.092,29.942,17.623333333333335,8.129,2.2112,0.12713762640487403,0.14844243659172207,0.12895346141885966,0.1176109224325046,0.1713168389396742
9,jpeg_compression,67.32,32.145,20.542666666666666,13.349,8.3212,0.25356069882400334,0.23097876366227865,0.20304868137463927,0.20238235709257424,0.1956017519114539
10,motion_blur,67.644,30.103,15.46,7.425,4.122,0.2966065341606736,0.21743409731425345,0.19208547519519925,0.17629430949455127,0.15874714718665928
11,pixelate,62.176,21.302,15.052666666666667,7.3765,1.366,0.31380762555636466,0.2228810745291412,0.2627908361610025,0.1795363121200353,0.0768637676956132
12,shot_noise,68.036,31.148,17.732666666666667,7.756,2.926,0.29536789329722524,0.17606997024267912,0.15538037847727537,0.19877750368323177,0.11448503658175468
13,snow,65.552,25.774,17.862,11.064,7.5556,0.09887134144082665,0.10364233097061515,0.18955200258642435,0.11742363881785423,0.11005929776001722
14,zoom_blur,50.144,19.786,10.601333333333333,6.292,3.8228,0.2614934677258134,0.26254431693814695,0.2894341563805938,0.2155673101078719,0.2764563208911568
