,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,0.076,0.037,0.028,0.0235,0.0212,0.005324313722667284,0.006081093437387608,0.006802202842663974,0.007032934692688286,0.007291569199878722
1,contrast,0.084,0.041,0.029333333333333333,0.0225,0.0176,0.005882855883101001,0.005749784759245813,0.005752742988988757,0.005551418929826468,0.005437561048893258
2,defocus_blur,0.1,0.049,0.03,0.02,0.0176,0.005231788600212894,0.005247513865469955,0.005268827051622793,0.005333784691174515,0.005341869982657954
3,elastic_transform,0.098,0.048,0.032,0.024,0.0184,0.005105900170747191,0.005416563188191503,0.005198052458581515,0.005269506495096721,0.005268531138426624
4,fog,0.094,0.057,0.03133333333333333,0.026,0.0184,0.0060783784138038754,0.005917832721024752,0.005850268091307953,0.0057334592420374975,0.005697937434888445
5,frost,0.086,0.046,0.03133333333333333,0.0245,0.018,0.006521286733914167,0.006268089302466251,0.0063104472937993705,0.006229091464774683,0.006204450561199337
6,gaussian_noise,0.1,0.05,0.03266666666666666,0.0195,0.0152,0.005138084467034787,0.005072157349786721,0.005009286644053645,0.004893322693533264,0.0048403305117972195
7,glass_blur,0.098,0.051,0.032,0.0225,0.0176,0.005188061331864446,0.00520121659792494,0.005207484471611679,0.005221421815804206,0.005236839671852067
8,impulse_noise,0.1,0.051,0.03266666666666666,0.019,0.0152,0.005157664738362655,0.005131389349116944,0.0050887713296106085,0.004984669169061817,0.0049264252302236855
9,jpeg_compression,0.096,0.045,0.032,0.0225,0.0176,0.005202751272008754,0.005229679911280982,0.005232341631199233,0.005212612362811342,0.005197073609451763
10,motion_blur,0.102,0.049,0.032,0.023,0.0188,0.005246959612122737,0.005253746407106519,0.005252024828223512,0.0052401386928977445,0.005241181555902585
11,pixelate,0.092,0.048,0.03133333333333333,0.0235,0.0188,0.005233652060269378,0.005228647525655106,0.0052332394843688235,0.005233248768490739,0.0052392295765457675
12,shot_noise,0.096,0.049,0.034,0.0245,0.0188,0.005123680079123005,0.005044871591962874,0.004968092223862186,0.004729241132736206,0.004634914104826748
13,snow,0.086,0.045,0.03,0.027,0.0204,0.005808654648717493,0.006707394175464287,0.006640529434662312,0.006487625185400248,0.006701366510242224
14,zoom_blur,0.096,0.048,0.03266666666666666,0.0245,0.0196,0.00534755144326482,0.005400190653745085,0.005482047461555339,0.005539707490243018,0.005597875831881538
