,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,80.832,40.12,26.434,19.423,15.0792,0.40071905963122845,0.38581583462655544,0.30393741000443697,0.26903244014829397,0.3390668658539653
1,contrast,78.562,38.769,25.329333333333334,17.6145,11.3536,0.21368115302175283,0.301624913001433,0.3109240401536226,0.2705708921421319,0.2922523493762128
2,defocus_blur,71.878,33.568,18.206,10.5555,6.1028,0.31008265307173133,0.31262747244909406,0.24914535181596875,0.2559024076908827,0.2409619279205799
3,elastic_transform,76.418,28.643,22.968666666666667,14.5485,6.224,0.37485013995319605,0.29986742651090026,0.36544790770858526,0.4389759860932827,0.4425031025893986
4,fog,75.694,36.419,22.012,15.1105,10.2824,0.2240810696966946,0.28951939032413065,0.19482122862245888,0.1930421869037673,0.08976065507158637
5,frost,76.692,35.24,21.56,15.972,11.9268,0.38400196842849255,0.19782673195004463,0.1969011090695858,0.29116359492763877,0.20699599385261536
6,gaussian_noise,77.318,37.835,23.743333333333332,16.0505,10.4888,0.3462287290021777,0.2952144928276539,0.33062999695539474,0.276145429816097,0.207910981727764
7,glass_blur,70.738,30.801,11.649333333333333,6.8285,3.5092,0.3465985720977187,0.29963150387629867,0.31546332547441125,0.21322760405018926,0.31601322907954454
8,impulse_noise,77.522,37.661,24.180666666666667,16.0755,10.5556,0.2849588440731168,0.16708116326481104,0.299953053239733,0.24813609826378524,0.15660789655521512
9,jpeg_compression,75.386,36.747,23.97,16.7055,12.0136,0.42618503980338573,0.4908878766000271,0.4732837276533246,0.41039355378597975,0.2446353225968778
10,motion_blur,76.722,36.255,21.266666666666666,12.798,8.3676,0.2361679128371179,0.3082455573603511,0.2719636890105903,0.2298896061256528,0.24275541095994413
11,pixelate,75.612,35.357,22.633333333333333,14.7145,7.6064,0.4068230791017413,0.298882027156651,0.2552479291334748,0.36124361120164394,0.3035227912478149
12,shot_noise,76.936,37.144,23.309333333333335,15.239,10.5656,0.2572682872414589,0.2444124580360949,0.23640494095161557,0.23778591584414244,0.22519571287557483
13,snow,73.166,31.749,21.200666666666667,14.056,10.8896,0.30965870385989547,0.1991896447725594,0.30486816028133035,0.2560945223085582,0.28413472417742014
14,zoom_blur,66.726,29.499,17.198,11.162,7.4148,0.4361898102797568,0.2680127006024122,0.2770021487958729,0.3566558859311044,0.31804802967235446
