,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,73.532,36.016,23.297333333333334,16.575,12.2868,0.2862347546033561,0.2880890667438507,0.22584769781678915,0.16056487197056413,0.20952475583180785
1,contrast,68.874,33.227,20.465333333333334,11.3025,3.6604,0.2753798107150942,0.2518634148873389,0.2966665418352932,0.208376593189314,0.22515715239569545
2,defocus_blur,60.276,26.71,13.252666666666666,6.7835,3.3872,0.24831033404916525,0.1933703813701868,0.24104427825659513,0.17808381677605212,0.16180661867838353
3,elastic_transform,67.76,22.715,17.202,9.262,2.724,0.25028490042313933,0.24536564270965755,0.2054947898723185,0.3074168134480715,0.2150216002482921
4,fog,65.126,30.394,17.718666666666667,11.639,6.1872,0.26459831092506647,0.3014597734436393,0.17594103515148163,0.23324973182752728,0.30734572233632207
5,frost,60.796,22.001,10.814666666666668,7.5885,4.7816,0.15798663906753063,0.18112942087464035,0.2797808430623263,0.20569922169670463,0.2232254499103874
6,gaussian_noise,63.496,28.107,14.602,6.917,2.3672,0.2935229572467506,0.21758867800235748,0.1684059842955321,0.18370462022721767,0.11024582770187408
7,glass_blur,54.65,20.341,5.468666666666667,3.168,1.95,0.21505917538888752,0.25191680807620287,0.20381730212830007,0.18834967876318842,0.15827648853883147
8,impulse_noise,52.466,23.323,13.490666666666666,6.2805,2.292,0.27854930562898517,0.181123579852283,0.12475952552631499,0.13877440500073135,0.12209061300382018
9,jpeg_compression,66.182,31.771,20.444,13.64,9.054,0.3594678782392293,0.2806314444169402,0.2661167923361063,0.27989794965833426,0.22275795799214393
10,motion_blur,65.9,27.575,12.48,5.239,2.7628,0.2295200100634247,0.16137970937415957,0.15387427725363523,0.17522940307389945,0.11889425490517169
11,pixelate,66.428,32.621,14.943333333333333,6.2095,4.4984,0.2686686860397458,0.22365707717835903,0.21888144547119737,0.22209264757111669,0.274856387055479
12,shot_noise,63.082,27.279,14.340666666666667,6.3035,2.9584,0.2828011177480221,0.18643523077480495,0.1643648229073733,0.15855601720977575,0.12271966377738863
13,snow,56.25,17.12,13.276,7.2895,4.2224,0.20419582282193005,0.2063215975649655,0.22393160220235586,0.24124610656872392,0.16951384441927075
14,zoom_blur,50.648,20.074,10.939333333333334,6.5625,4.0324,0.26822430873289704,0.2703197496011853,0.28181830840185285,0.2932548539247364,0.26186900306493044
