,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.734,37.392,24.432,17.6705,13.3104,0.15094593167304993,0.18594665825366974,0.27171647548675537,0.583038866519928,0.4730195999145508
1,contrast,73.046,35.772,22.736666666666668,14.2335,6.7404,0.33079099655151367,0.23001150786876678,0.1802283525466919,0.19873906672000885,0.7463099658489227
2,defocus_blur,62.438,28.074,14.380666666666666,7.953,4.4028,0.10938660800457001,0.20203889906406403,0.1137014701962471,0.2681066691875458,0.11347854137420654
3,elastic_transform,69.328,22.596,19.676,11.3665,3.9664,0.24898602068424225,0.08486606180667877,0.20981310307979584,0.14976492524147034,0.1437814086675644
4,fog,68.254,32.328,19.013333333333332,12.0945,6.42,0.15510369837284088,0.15909475088119507,0.408107191324234,0.489126980304718,0.4528573453426361
5,frost,69.23,29.921,17.292,12.6615,9.048,0.38158848881721497,0.24213264882564545,0.2423374354839325,0.3487400710582733,0.33672192692756653
6,gaussian_noise,70.134,32.418,18.464,10.083,3.6108,0.25763171911239624,0.2380351424217224,0.4190990626811981,0.04031383618712425,0.06528677046298981
7,glass_blur,60.15,24.219,7.368,4.3,2.3736,0.5723028779029846,0.18375808000564575,0.19246038794517517,0.15723836421966553,0.30014950037002563
8,impulse_noise,68.154,30.588,18.215333333333334,9.4455,3.5356,0.8137747347354889,0.2815743088722229,0.8798409625887871,0.04057519882917404,0.04892788827419281
9,jpeg_compression,69.012,33.18,21.412666666666667,14.544,10.0408,0.2695692777633667,0.2655524015426636,0.12412893772125244,0.14843572676181793,0.08417943865060806
10,motion_blur,69.896,31.638,17.060666666666666,9.0345,5.3268,0.1628202348947525,0.8600479066371918,0.1908409148454666,0.10444870591163635,0.06460626423358917
11,pixelate,67.77,30.816,17.619333333333334,9.817,5.1324,0.19288641214370728,0.10554520785808563,0.21727590262889862,0.4154840409755707,0.13557350635528564
12,shot_noise,69.742,31.808,18.114,8.8395,4.1772,0.7880894690752029,0.8296796828508377,0.3089791238307953,0.02583746425807476,0.08077620714902878
13,snow,66.424,26.159,17.946,11.1165,7.5196,0.2552102506160736,0.23939979076385498,0.3760995864868164,0.10745900124311447,0.6753978729248047
14,zoom_blur,54.582,22.392,12.552666666666667,7.657,4.83,0.5202003717422485,0.5100575685501099,0.2800295650959015,0.470384418964386,0.5417633056640625
