,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,70.494,34.768,22.569333333333333,16.072,11.7488,0.32349157333374023,0.10819000005722046,0.09306762367486954,0.15579111874103546,0.049862299114465714
1,contrast,65.24,30.613,17.218666666666667,6.157,0.9748,0.19507895410060883,0.10785429924726486,0.057985324412584305,0.09791091829538345,0.9002076759934425
2,defocus_blur,53.562,22.476,9.922666666666666,4.9035,2.5264,0.09097691625356674,0.0686269998550415,0.06968071311712265,0.05603495612740517,0.048453763127326965
3,elastic_transform,62.164,20.146,18.26,10.6285,3.7792,0.3488357365131378,0.12231866270303726,0.15152329206466675,0.2107076495885849,0.12975876033306122
4,fog,57.796,25.492,13.552666666666667,8.629,4.0216,0.10870720446109772,0.05118413642048836,0.11871525645256042,0.12557432055473328,0.12497163563966751
5,frost,58.506,21.187,10.458,7.33,4.6456,0.11937079578638077,0.0594443716108799,0.0940406322479248,0.08836890012025833,0.23693716526031494
6,gaussian_noise,57.056,22.591,9.3,2.9705,0.5012,0.30026352405548096,0.0906490683555603,0.055178117007017136,0.07115786522626877,0.05130276456475258
7,glass_blur,52.712,20.735,6.362666666666667,3.6895,1.9424,0.06318087875843048,0.05815597623586655,0.12230131775140762,0.1161116510629654,0.2515876591205597
8,impulse_noise,45.794,16.534,8.248666666666667,2.498,0.4968,0.14618459343910217,0.12039019912481308,0.27277809381484985,0.20247435569763184,0.05301067233085632
9,jpeg_compression,61.82,29.21,18.628,11.865,7.4924,0.39357873797416687,0.08606857061386108,0.1288405805826187,0.0632338896393776,0.0711461529135704
10,motion_blur,61.87,26.344,12.957333333333333,6.165,3.4748,0.14466118812561035,0.1324644535779953,0.03750484436750412,0.025781456381082535,0.02636042609810829
11,pixelate,58.616,26.792,15.156,8.994,3.6408,0.11482669413089752,0.07564990967512131,0.19097891449928284,0.12398982793092728,0.15556666254997253
12,shot_noise,54.78,20.527,8.517333333333333,2.2595,0.7388,0.13345451653003693,0.08649739623069763,0.24726757407188416,0.1203521192073822,0.044206853955984116
13,snow,53.748,16.879,12.867333333333333,7.378,4.412,0.6490411162376404,0.5073277950286865,0.099734365940094,0.09696532040834427,0.050564929842948914
14,zoom_blur,44.626,17.706,9.802,5.887,3.674,0.548130989074707,0.3835424780845642,0.17183490097522736,0.1885969042778015,0.18125642836093903
