,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,75.6,37.273,24.274,17.5855,13.2708,0.22366163786500692,0.26798556419089437,0.2672724553849548,0.21728803683072329,0.2157592144794762
1,contrast,69.19,32.324,18.42,7.829,1.5872,0.43719983054324985,0.21359489066526294,0.13081910321488976,0.20218912325799465,0.059505786804948
2,defocus_blur,63.79,28.417,14.238666666666667,7.734,4.2288,0.4066793629899621,0.3014943618327379,0.2594951066421345,0.23934270103927702,0.18337730679195374
3,elastic_transform,70.33,24.285,20.255333333333333,11.86,4.198,0.22176790051162243,0.27143114409409463,0.4168397542089224,0.2618661259766668,0.3145215976983309
4,fog,64.728,29.642,17.014666666666667,10.7585,4.9216,0.2099556652829051,0.2978435531258583,0.30541141517460346,0.3126878538168967,0.3779163109138608
5,frost,64.356,24.278,12.364666666666666,8.648,5.5668,0.2895341687835753,0.25612934213131666,0.27326694899238646,0.2655967625323683,0.24484083033166826
6,gaussian_noise,67.254,30.772,14.363333333333333,4.025,0.3684,0.2908652713522315,0.27587576978839934,0.2709426302462816,0.11952359898714349,0.03472211703774519
7,glass_blur,61.632,25.323,7.557333333333333,4.024,1.7452,0.4082993322517723,0.2788039264269173,0.18542958796024323,0.21890880563296378,0.1538717069197446
8,impulse_noise,69.42,31.144,17.502,4.8225,0.4796,0.31678412947803736,0.2528393182437867,0.18226078595034778,0.1378877437673509,0.04382221002015285
9,jpeg_compression,69.758,33.56,21.854666666666667,15.1685,10.6612,0.3685447557363659,0.3153601281810552,0.3190005663782358,0.23823605431243777,0.23632344231009483
10,motion_blur,70.27,32.105,17.208666666666666,8.9565,5.3396,0.22475325199775398,0.26518641132861376,0.3636326277628541,0.22123531205579638,0.18345089023932815
11,pixelate,70.378,33.836,20.32133333333333,12.615,8.7996,0.2778226528316736,0.21426898567005992,0.22466431558132172,0.21736438758671284,0.25479586608707905
12,shot_noise,66.666,29.802,14.518666666666666,4.0045,1.1952,0.29341905983164907,0.2796916840597987,0.22176392818801105,0.15842497046105564,0.06995124195236713
13,snow,61.628,20.201,15.019333333333334,8.661,5.29,0.28526885248720646,0.23202596371993423,0.20274371816776693,0.2689403207041323,0.22527397680096328
14,zoom_blur,56.672,23.549,13.183333333333334,8.0725,5.062,0.33986624237149954,0.25542131066322327,0.30741217033937573,0.21564651373773813,0.21183463651686907
