,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.17,38.024,24.745333333333335,17.8235,13.3596,0.3908638204447925,0.47010031808167696,0.3466400848701596,0.37187810451723635,0.39815659960731864
1,contrast,73.55,35.755,22.361333333333334,12.917,4.744,0.3875981457531452,0.37517057289369404,0.2795388698577881,0.3875203945208341,0.1674053168098908
2,defocus_blur,64.382,28.75,14.112666666666666,7.293,3.816,0.46011245832778513,0.40499603119678795,0.30694792536087334,0.2428193740779534,0.30261478992179036
3,elastic_transform,72.124,25.449,18.662666666666667,10.068,2.7136,0.3226196370087564,0.36143019096925855,0.21141525451093912,0.3331911386922002,0.4322337177582085
4,fog,70.838,33.955,20.772666666666666,13.9085,7.8048,0.32895673625171185,0.3318402892909944,0.22496890369802713,0.3638408835977316,0.3073181854560971
5,frost,67.332,26.345,13.704,9.8125,6.4256,0.4986526002176106,0.4757957309484482,0.37133732438087463,0.3795646869111806,0.3752983184531331
6,gaussian_noise,70.36,31.692,16.964666666666666,8.8565,3.526,0.3729215878993273,0.33498865156434476,0.422658123774454,0.4093851090874523,0.2148102920036763
7,glass_blur,60.848,22.941,5.686,3.1745,1.9148,0.383569966070354,0.3256465205922723,0.30610423418693244,0.2877629119902849,0.26606364524923265
8,impulse_noise,57.812,26.099,15.312,7.7485,3.3568,0.30606973078101873,0.3509267291519791,0.2628691545687616,0.24200945510528982,0.2321478370577097
9,jpeg_compression,69.758,33.413,21.49,14.0955,8.9888,0.4007581043988466,0.4301472995430231,0.4257086552679539,0.40295006055384874,0.2928585842018947
10,motion_blur,71.226,31.49,15.742,7.537,4.2688,0.3036348232999444,0.3136027832515538,0.35785625455901027,0.43198667117394507,0.28374889004044235
11,pixelate,66.564,28.337,15.721333333333334,6.59,2.424,0.4151701256632805,0.39527584589086473,0.2523756839800626,0.2745996662415564,0.13372859102673829
12,shot_noise,69.576,30.563,16.296666666666667,7.487,3.758,0.34344193805009127,0.24657299160026014,0.2465114714577794,0.229288037866354,0.14520113822072744
13,snow,62.352,21.039,15.076,8.6,5.252,0.3545510279946029,0.45629450073465705,0.4452170357108116,0.3957656074780971,0.4147058133967221
14,zoom_blur,58.834,24.242,13.469333333333333,8.195,5.1024,0.22749399300664663,0.27998078521341085,0.38059790106490254,0.4120751362061128,0.3751394699793309
