,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,77.47,38.008,24.560666666666666,17.513,12.8652,0.41486377408728004,0.31895872531458735,0.3002843395806849,0.3382855199743062,0.34470915514975786
1,contrast,69.856,31.927,16.926,5.3415,0.74,0.23660334665328264,0.31134948460385203,0.260880621150136,0.21424647513777018,0.10131553409155458
2,defocus_blur,65.112,29.058,14.265333333333333,7.281,3.7672,0.41235468862578273,0.4042910588905215,0.35941743897274137,0.3083577319048345,0.40473970281891525
3,elastic_transform,71.608,25.304,19.569333333333333,11.003,3.3224,0.3055405393242836,0.325904181227088,0.40920526534318924,0.34287893818691373,0.36486905347555876
4,fog,67.638,31.185,18.125333333333334,11.9635,6.064,0.34563869051635265,0.2233817980159074,0.28578827204182744,0.2982603673590347,0.37102460232563317
5,frost,65.44,24.16,11.976666666666667,8.3685,5.3044,0.3177660498768091,0.35618304507806897,0.3946609478443861,0.45786827616393566,0.5032598986290395
6,gaussian_noise,67.006,28.805,10.898,2.1005,0.2084,0.3020622325129807,0.3306547002866864,0.22542830440215766,0.05083678534720093,0.010234457702608779
7,glass_blur,59.084,22.459,6.230666666666667,3.4765,2.0072,0.3545326227322221,0.36776262847706676,0.2926286493893713,0.22760104527696967,0.2546230221632868
8,impulse_noise,63.808,27.792,14.582666666666666,2.7935,0.242,0.3618627362884581,0.32002952159382403,0.33245499443728477,0.11806904611876234,0.015632654089131393
9,jpeg_compression,70.42,33.613,21.731333333333332,14.2735,9.0184,0.37479538237676024,0.41222795750945807,0.34946014219895005,0.3666891120374203,0.24711790075525641
10,motion_blur,70.286,30.558,14.96,6.9565,3.8704,0.3333366063889116,0.2270941035822034,0.229122111806646,0.2854016302153468,0.32016400434076786
11,pixelate,68.516,32.953,18.892,11.1295,7.8992,0.4187091216444969,0.34426498296670616,0.3705533700995147,0.21370972832664847,0.28383865347132087
12,shot_noise,66.378,27.121,10.645333333333333,1.659,0.36,0.17140960600227118,0.3401101999916136,0.2314612807240337,0.0958519714185968,0.03642564528854564
13,snow,61.51,17.931,13.959333333333333,7.5445,3.5916,0.2687911684624851,0.45311975944787264,0.35916512459516525,0.3227569293230772,0.6625931665766984
14,zoom_blur,58.036,23.558,13.050666666666666,8.0065,4.9552,0.3524941294454038,0.2563509459141642,0.3330508074723184,0.34569512167945504,0.25340017722919583
