,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,82.524,40.83,26.791333333333334,19.674,15.1516,0.3125036507844925,0.3175046378746629,0.17652997188270092,0.33850553212687373,0.35678914631716907
1,contrast,79.94,38.79,24.153333333333332,14.723,9.066,0.32185153802856803,0.23318737954832613,0.18277712364215404,0.1983711861539632,0.1152324799913913
2,defocus_blur,75.256,35.518,20.196,12.263,7.5048,0.24057404790073633,0.28697642032057047,0.18170905392616987,0.24058300745673478,0.19740885705687106
3,elastic_transform,77.772,28.438,24.758666666666667,16.2375,7.4028,0.23676757421344521,0.21622006502002478,0.2930506207048893,0.29332825541496277,0.30245144781656563
4,fog,75.388,35.876,22.618,16.777,12.4392,0.15090838889591396,0.17813286720775068,0.06437271228060126,0.0643605743534863,0.07176814554259181
5,frost,78.274,35.647,21.534,16.082,11.8744,0.2450826526619494,0.13414286938495934,0.246183677110821,0.15928118315059692,0.15622514579445124
6,gaussian_noise,78.212,38.222,23.739333333333335,15.7375,9.8412,0.24378872523084283,0.31098317075520754,0.2719711707904935,0.2615901120007038,0.20947638084180653
7,glass_blur,74.694,33.779,15.120666666666667,9.772,5.6668,0.26380647253245115,0.21449465956538916,0.25649631582200527,0.33523740665987134,0.31294686114415526
8,impulse_noise,75.99,36.916,23.659333333333333,15.4885,9.8332,0.23769160849042237,0.23091174196451902,0.28475832007825375,0.24599396740086377,0.194947560550645
9,jpeg_compression,74.976,36.278,23.622666666666667,16.5095,11.78,0.2926437105052173,0.2475294005125761,0.29322691122069955,0.31033683754503727,0.2523660189472139
10,motion_blur,78.994,37.369,22.245333333333335,13.6705,9.222,0.12582126166671515,0.3343423819169402,0.269163366407156,0.18009743839502335,0.1756651932373643
11,pixelate,77.366,35.776,24.238,16.9345,8.7872,0.2493862397968769,0.18418815406039357,0.22274381900206208,0.23586800321936607,0.3449609847739339
12,shot_noise,77.5,37.471,23.49,15.103,10.188,0.29855617601424456,0.22356745321303606,0.28472168231382966,0.2508421572856605,0.2657172973267734
13,snow,76.498,33.002,22.263333333333332,14.658,10.864,0.11606504954397678,0.16291849222034216,0.1947126998566091,0.21270005078986287,0.1926289803814143
14,zoom_blur,70.226,31.453,18.520666666666667,12.118,7.84,0.18652400467544794,0.25286286137998104,0.2477442326489836,0.23674446810036898,0.26558443740941584
