,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,brightness,79.096,39.258,25.778,18.8265,14.4556,0.24324116203933954,0.26576767209917307,0.2007185302209109,0.3096112050116062,0.24775046948343515
1,contrast,75.66,37.241,23.874,15.5425,8.16,0.2558245505206287,0.2622850430198014,0.25872424244880676,0.19876994471997023,0.10129796661203727
2,defocus_blur,68.288,31.139,16.057333333333332,8.642,4.646,0.30619143368676305,0.3668273324146867,0.2687658689683303,0.18049412325490266,0.14133153087459505
3,elastic_transform,74.636,27.269,20.047333333333334,11.2745,3.376,0.14754300750792027,0.28533366578631103,0.28459465131163597,0.23162869596853852,0.34168880013749003
4,fog,73.172,35.345,21.947333333333333,14.949,8.598,0.26894299359992146,0.16682954435236752,0.17194965144153684,0.11727243906352669,0.18746069760527462
5,frost,73.036,32.386,18.998666666666665,14.023,10.1144,0.30402297829277813,0.2124324233736843,0.14708100061398,0.19292107596993446,0.17763445666059852
6,gaussian_noise,74.774,34.948,19.088,7.721,1.5972,0.3124140379950404,0.3418411335442215,0.21307472209446132,0.1417911282624118,0.10248317480727565
7,glass_blur,63.094,24.334,6.155333333333333,3.227,1.8304,0.3200955758802593,0.2796291371341795,0.31328053364995867,0.3056306834332645,0.18752823933027685
8,impulse_noise,70.988,32.24,19.097333333333335,6.9065,1.472,0.21332122036255896,0.17340115935076028,0.19736072537489235,0.1187122713890858,0.06196330823877361
9,jpeg_compression,72.802,35.184,22.783333333333335,15.484,10.4644,0.300606660079211,0.37620447389781475,0.42596446350216866,0.38451824337244034,0.3585142991505563
10,motion_blur,73.436,33.019,17.172666666666668,8.6575,4.9916,0.23672066279686987,0.316101660951972,0.2717798394151032,0.2752425617072731,0.27582050196360797
11,pixelate,72.446,31.253,18.767333333333333,9.3755,3.6384,0.308921086601913,0.39124895771965384,0.29593219491653144,0.22074240632355213,0.15074812376406044
12,shot_noise,74.192,34.157,18.427333333333333,6.4085,2.6024,0.2892586721573025,0.2374367795418948,0.1867345942882821,0.10533497791038826,0.042062012827955186
13,snow,67.102,24.905,17.394,10.644,7.4176,0.2179642436094582,0.26538932975381613,0.2016012326348573,0.2787300474010408,0.24670699634589255
14,zoom_blur,61.43,25.52,14.257333333333333,8.8445,5.5476,0.18329464690759778,0.2766466347966343,0.3563919314183295,0.25856444612145424,0.26556856790557504
