,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,61.026,28.428,16.676666666666666,7.7745,3.4652,0.2577160093933344,0.2044709043111652,0.19138217065483332,0.18010509782470763,0.24947131611406803
1,brownish_noise,63.42,28.919,17.212666666666667,11.263,7.848,0.2503195849712938,0.18947123945690691,0.19105591322295368,0.2588960088323802,0.22558704507537186
2,caustic_refraction,60.86,29.251,17.545333333333332,11.786,8.0212,0.255417887121439,0.25250804517418146,0.2193968368228525,0.2102340708952397,0.15632684878073633
3,checkerboard_cutout,58.926,27.213,16.052,10.3275,6.7488,0.17714149388484657,0.2357581586111337,0.18012068094685674,0.23471251246519387,0.2150672844145447
4,cocentric_sine_waves,44.136,12.223,2.764,1.4715,0.8444,0.24429127504117787,0.3712159153074026,0.4126793679315597,0.543043740093708,0.5137831931933761
5,inverse_sparkles,29.152,11.181,4.296,0.9315,0.6568,0.28474351624026895,0.2824196517467499,0.3817385849542916,0.4103107573464513,0.43876607436686754
6,perlin_noise,61.224,29.917,19.425333333333334,13.0855,9.3916,0.16129846079275012,0.19082155032083392,0.1881446500774473,0.18005834985524416,0.16536660259589553
7,plasma_noise,46.586,15.218,7.156,4.1315,2.614,0.21433145110495389,0.27466496266424656,0.25853290245868266,0.3010086356662214,0.2835642013233155
8,single_frequency_greyscale,48.782,19.573,10.205333333333334,1.686,1.0688,0.21107710828073323,0.2536474608350545,0.19111803220584989,0.3414829052053392,0.3880339632742107
9,sparkles,65.396,31.87,19.707333333333334,11.464,7.7824,0.22472132090479136,0.17787965689785779,0.21278105513192713,0.2277075587771833,0.19935030629858375
