,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,85.584,42.691,28.262,20.786,16.0932,0.3260956611484289,0.23816511873155832,0.26410532370209694,0.15821445873007178,0.24200183805078268
1,brownish_noise,85.554,42.56,28.224666666666668,21.037,16.718,0.3042771313339472,0.3043291950598359,0.2754119345918298,0.21007414534687996,0.21914189495146275
2,caustic_refraction,83.798,41.548,27.074,19.8425,15.2804,0.3562956415116787,0.3093538759276271,0.25580303836613894,0.3759087088983506,0.26128174643963575
3,checkerboard_cutout,85.348,42.612,28.236666666666668,21.0595,16.7648,0.1251260209828615,0.28973361011594534,0.25842718686908484,0.20031256088986993,0.16959257703274488
4,cocentric_sine_waves,83.136,39.518,22.334666666666667,15.3825,11.39,0.30296365544199944,0.3046864718198776,0.43122024461627007,0.5134635679423809,0.3417241256684065
5,inverse_sparkles,82.22,40.487,25.703333333333333,16.114,12.4604,0.3086405540816486,0.2276798509992659,0.2503966959193349,0.2483322222251445,0.27665959764271975
6,perlin_noise,84.822,42.317,28.136666666666667,20.8975,16.5608,0.28229964757338166,0.24789980822242796,0.3071899125352502,0.3032054486684501,0.21801417926326394
7,plasma_noise,83.514,40.835,26.515333333333334,19.4895,15.2368,0.23528886400163174,0.2588458303362131,0.16872355807572603,0.2035245206207037,0.33311459980905056
8,single_frequency_greyscale,84.868,42.201,27.953333333333333,19.8425,15.6284,0.2879984136670828,0.19452703651040792,0.2865295419469476,0.25890400679782033,0.26666249707341194
9,sparkles,85.484,42.605,28.334666666666667,21.037,16.6956,0.3021680358797312,0.3113917429000139,0.2573670241981745,0.2156254891306162,0.22793694585561752
