,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,0.09,0.049,0.034666666666666665,0.031,0.0228,0.005868836509762332,0.005854325514519587,0.0058648253325372934,0.005811641662148759,0.005670659011229873
1,brownish_noise,0.116,0.052,0.027333333333333334,0.024,0.02,0.005769580544438213,0.005876547744264826,0.005803667416330427,0.006190238083945587,0.006256994092836976
2,caustic_refraction,0.098,0.046,0.03266666666666666,0.0235,0.0216,0.005835916323121637,0.0058727580471895635,0.005832577327964827,0.005778523947810754,0.005793098855065182
3,checkerboard_cutout,0.118,0.058,0.044,0.032,0.0288,0.005947205791017041,0.005918730952544138,0.005999110027914867,0.006090520939324051,0.006108364090323448
4,cocentric_sine_waves,0.094,0.047,0.034,0.026,0.022,0.005868823907803744,0.0058958463778253645,0.0058694343897514045,0.00588015207904391,0.005834093637531623
5,inverse_sparkles,0.122,0.074,0.052,0.027,0.0224,0.005687777738785371,0.005759080027928576,0.005527584522496909,0.005365769698983058,0.0054649991798214614
6,perlin_noise,0.112,0.059,0.03866666666666667,0.0315,0.024,0.005778141028713435,0.005739329208154231,0.005691678525181487,0.00559182622237131,0.005863395723281428
7,plasma_noise,0.11,0.053,0.035333333333333335,0.03,0.0208,0.0057748556428123266,0.00540274175000377,0.005410192534327507,0.005577065661782399,0.005272507027257234
8,single_frequency_greyscale,0.096,0.054,0.03666666666666667,0.03,0.022,0.005909224419156089,0.005987356649711728,0.005899437615880743,0.006000674271490425,0.005840913945576176
9,sparkles,0.096,0.053,0.04133333333333333,0.03,0.0232,0.005862747406354174,0.005807992798509076,0.005743030546000227,0.005420230299932882,0.005317974602803588
