,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,0.08,0.039,0.025333333333333333,0.018,0.0132,0.0054189523216336966,0.005409931123722345,0.005484510940732434,0.005747058807173744,0.006274734711041674
1,brownish_noise,0.094,0.047,0.020666666666666667,0.0185,0.0128,0.005478134989971295,0.005485207249876112,0.005571515212068334,0.0055411780485883355,0.005458411498693749
2,caustic_refraction,0.086,0.044,0.028666666666666667,0.02,0.016,0.0054125263704918325,0.0054088912438601255,0.0053988715226296335,0.005372882616939023,0.005345591634977609
3,checkerboard_cutout,0.082,0.041,0.028666666666666667,0.0175,0.016,0.005396351160015911,0.005229961825534701,0.005187856702832505,0.0051967673061881214,0.005021283228415996
4,cocentric_sine_waves,0.084,0.036,0.023333333333333334,0.017,0.0176,0.00540158711373806,0.00536249580909498,0.005387608456658199,0.005402038950705901,0.005446649389341474
5,inverse_sparkles,0.098,0.055,0.029333333333333333,0.0295,0.0192,0.004827964818105102,0.004981080070137978,0.00457615006598644,0.0046334206708706915,0.0046398144331760705
6,perlin_noise,0.088,0.048,0.032,0.0285,0.0236,0.00518443516921252,0.005124472925672308,0.0050050526624545455,0.004926154506392777,0.0049135826993733644
7,plasma_noise,0.082,0.042,0.020666666666666667,0.022,0.0156,0.005643930955557153,0.005710672325221822,0.005881773395230994,0.005964482072158717,0.006471305940067396
8,single_frequency_greyscale,0.078,0.041,0.028666666666666667,0.0185,0.018,0.005309053900418803,0.005358940092264675,0.005304001009790227,0.005324719182681292,0.005688051751349121
9,sparkles,0.08,0.037,0.025333333333333333,0.02,0.0176,0.005407004849985242,0.005422409041784704,0.005284285667585209,0.0051473709754645824,0.004908232047455385
