,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,79.016,39.058,25.654666666666667,18.198,11.8572,0.30360311549156904,0.334380894433707,0.23326492821797729,0.2671975027769804,0.17573266196995974
1,brownish_noise,80.028,39.325,25.68,18.807,14.5856,0.24494638410396874,0.29413787089288235,0.32061693724244833,0.3434849055483937,0.348147751763463
2,caustic_refraction,77.222,37.644,23.746666666666666,16.625,11.8628,0.26589151564985514,0.1218214794062078,0.18775253277271986,0.4215180901810527,0.285653836093843
3,checkerboard_cutout,78.058,38.297,24.906,18.0845,13.9208,0.34735951805487275,0.2447728244587779,0.24675965029746294,0.23723982460796833,0.22030153684318066
4,cocentric_sine_waves,73.424,32.684,15.977333333333334,10.259,7.1412,0.46672160364687443,0.30750506836920977,0.4737115274183452,0.5289248190820217,0.3999711060896516
5,inverse_sparkles,67.736,31.352,16.132666666666665,5.927,4.372,0.355042414739728,0.30274691991508007,0.3595293425023556,0.32998810801655054,0.29747022641822696
6,perlin_noise,79.562,39.614,26.22,19.114,14.8572,0.33933551609516144,0.3058542204089463,0.23512735776603222,0.3904182119295001,0.38991022668778896
7,plasma_noise,74.85,34.437,21.219333333333335,14.9715,11.0776,0.3480774206109345,0.27720770286396146,0.18150995206087828,0.30603635124862194,0.3529746988788247
8,single_frequency_greyscale,73.464,33.997,20.086666666666666,6.6815,4.3428,0.3598898006603122,0.2463182108476758,0.25521634984761477,0.2878277092240751,0.2374762778636068
9,sparkles,80.286,39.728,25.848666666666666,18.2805,14.0788,0.32994135096669197,0.3206461304798722,0.4373435382731259,0.26214165892452,0.21622318075969815
