,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,75.006,35.849,22.718,15.1115,9.1708,0.3066122755408287,0.2859288235194981,0.25080570951104164,0.2169974280986935,0.2545585595071316
1,brownish_noise,79.674,38.934,25.172,18.1715,13.9324,0.24339239322580397,0.2814382466021925,0.22372194612398744,0.32199757313355803,0.216721105389297
2,caustic_refraction,75.952,36.714,22.659333333333333,15.545,10.9056,0.28182903956621885,0.18378741387277842,0.19068374461494386,0.240160500863567,0.1986771714873612
3,checkerboard_cutout,75.28,35.873,22.320666666666668,15.336,10.8656,0.3319253730587661,0.24205650854855776,0.2713583766017109,0.2922753938473761,0.31383252632804215
4,cocentric_sine_waves,65.464,22.778,8.714666666666666,5.0555,3.6472,0.29069754760712385,0.36093711759895086,0.3615271793678403,0.37145220790989697,0.3521632421761751
5,inverse_sparkles,63.008,28.074,13.582,5.0475,3.816,0.30266084196045995,0.2949316736776382,0.21012637787498534,0.23590783588588238,0.22203298518434167
6,perlin_noise,78.252,38.729,25.538,18.3,13.9388,0.36973250238224864,0.2789347916841507,0.3297152342274785,0.2327643473399803,0.22035596473142505
7,plasma_noise,72.384,30.899,17.721333333333334,11.967,8.4196,0.28231713455170393,0.3653789381496608,0.25692669907584786,0.14745736285112798,0.22231098846532404
8,single_frequency_greyscale,74.936,35.794,22.834,12.439,9.532,0.40291187912225723,0.2916828815359622,0.3971879966557026,0.1916922307573259,0.30772559717297554
9,sparkles,79.782,39.287,25.493333333333332,17.923,13.754,0.3344084331765771,0.3066164255142212,0.36383249796926975,0.2828468377701938,0.30329706938937306
