,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,56.052,24.24,13.909333333333333,7.0575,3.4912,0.9494072198867798,0.9896768927574158,0.8780959844589233,0.1000153124332428,0.09563501924276352
1,brownish_noise,74.238,35.305,21.711333333333332,14.381,9.8576,0.23254436254501343,0.22074303030967712,0.9989957213401794,0.6267493963241577,0.9999951124191284
2,caustic_refraction,68.32,32.61,19.45,13.0915,8.838,0.3857858180999756,0.08429650217294693,0.3242359161376953,0.8474442958831787,0.41048502922058105
3,checkerboard_cutout,68.292,31.745,18.866666666666667,12.256,7.9236,0.12549272179603577,0.7592552900314331,0.12626193463802338,0.40784141421318054,0.15795347094535828
4,cocentric_sine_waves,44.68,10.01,2.36,1.1515,0.7296,0.9337993264198303,0.36555901169776917,0.31184327602386475,0.8341155052185059,0.7803460359573364
5,inverse_sparkles,41.078,17.713,8.475333333333333,3.5635,2.73,0.33964791893959045,0.19631655514240265,0.2991519868373871,0.24381422996520996,0.4198046028614044
6,perlin_noise,69.49,34.084,22.055333333333333,14.697,10.3756,0.06317967921495438,0.04976711422204971,0.13029800355434418,0.08590611815452576,0.10030560195446014
7,plasma_noise,52.896,15.414,6.934,3.7955,2.3572,0.889133870601654,0.45651572942733765,0.38135719299316406,0.9936779141426086,0.5562103986740112
8,single_frequency_greyscale,48.006,18.118,9.529333333333334,2.014,1.4552,0.5289265513420105,0.7660640478134155,0.6302851438522339,0.73779296875,0.6472816467285156
9,sparkles,74.946,36.55,23.280666666666665,15.1585,10.9192,0.18927128612995148,0.18433238565921783,0.7268009185791016,0.2897377014160156,0.21451668441295624
