,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,75.474,36.986,23.864,15.319,8.0528,0.2855679290369153,0.22728449222631752,0.183568891370669,0.26340087864082307,0.22245063178706914
1,brownish_noise,75.966,36.572,23.189333333333334,16.322,12.0152,0.3406519265845418,0.28448979347012937,0.27890351321548223,0.28863616148009896,0.2903586686588824
2,caustic_refraction,72.822,35.114,21.345333333333333,14.576,10.0528,0.356594302225858,0.3636731677688658,0.4003957457607612,0.3509852350689471,0.3792449692264199
3,checkerboard_cutout,75.718,37.187,24.116,17.578,13.5748,0.3012160952202976,0.2135469273198396,0.3085238807834685,0.19093945971690118,0.3359619351103902
4,cocentric_sine_waves,67.404,27.315,10.708666666666666,6.0975,3.9452,0.22516673430800438,0.2541242721490562,0.27396090677939355,0.49732762831263244,0.3679419350810349
5,inverse_sparkles,59.918,26.069,11.536,3.212,2.31,0.23220498859882355,0.22529198555275798,0.2566902698017657,0.2395064716693014,0.27146457182243466
6,perlin_noise,79.452,39.437,26.089333333333332,18.8645,14.4108,0.3096790863201022,0.24735794449225068,0.28304915269836783,0.2564354664646089,0.2557362103834748
7,plasma_noise,66.858,27.108,14.604666666666667,9.329,6.3028,0.4475629283115268,0.225898209027946,0.3031976413913071,0.26800896774511784,0.18518326547928154
8,single_frequency_greyscale,70.622,32.802,20.201333333333334,6.1615,4.1732,0.30560868233442307,0.3315500523895025,0.29163529304787517,0.23124400060623884,0.24142020498402417
9,sparkles,77.402,38.463,25.412666666666667,18.2005,14.0176,0.24341994244605303,0.2532508047297597,0.28272860823199153,0.22842927696183324,0.2801490444689989
