,Corruption,Acc_s1,Acc_s2,Acc_s3,Acc_s4,Acc_s5,ECE_s1,ECE_s2,ECE_s3,ECE_s4,ECE_s5
0,blue_noise_sample,80.026,39.125,25.389333333333333,17.538,11.1092,0.3186928238719702,0.4154588431119919,0.3414781419560313,0.4364202283322811,0.5043956954032183
1,brownish_noise,82.446,40.396,26.252,19.1675,14.8036,0.2827127706259489,0.40001863427460194,0.3457691026851535,0.31364522501826286,0.49577213265001774
2,caustic_refraction,78.904,38.433,24.076,16.9515,12.27,0.3097518030554056,0.32335193641483784,0.5658793905749917,0.38024359848350286,0.4416944142431021
3,checkerboard_cutout,81.268,40.133,26.277333333333335,19.356,15.0424,0.35519206523895264,0.2793216407299042,0.3735123286023736,0.4635120593011379,0.32329246401786804
4,cocentric_sine_waves,65.562,21.642,5.907333333333334,3.065,1.816,0.5948191173374653,0.6822512354701757,0.767387823201716,0.879001310095191,0.8023037733510137
5,inverse_sparkles,56.592,25.8,14.124666666666666,7.433,5.8332,0.40913823060691357,0.541469638235867,0.36487076338380575,0.41681701177731156,0.44334365520626307
6,perlin_noise,80.874,40.1,26.494666666666667,18.9735,14.4576,0.5656597074121237,0.42349499091506004,0.5252083167433739,0.39695547707378864,0.6539899464696646
7,plasma_noise,73.536,30.079,16.513333333333332,10.76,7.2452,0.4017658270895481,0.5513320192694664,0.41987413819879293,0.5334902000613511,0.4483934650197625
8,single_frequency_greyscale,72.82,32.609,18.728,3.9885,2.4232,0.42849352210760117,0.45555690862238407,0.49571276688948274,0.7121823709458113,0.5571964401751757
9,sparkles,82.848,41.051,27.011333333333333,19.405,15.0904,0.37332093715667725,0.3836666848510504,0.4130549533292651,0.3104494074359536,0.4353987416252494
