,Corruption,FP,T5D
0,brightness,0.027359333333329128,0.7913106666666222
1,gaussian_noise,0.13269266666667368,3.32162999999993
2,motion_blur,0.04449733333333403,1.1725993333333056
3,rotate,0.052601333333335026,1.5185486666666321
4,scale,0.11741666666666911,2.6852166666666215
5,shot_noise,0.16089533333333703,3.847844666666636
6,snow,0.05968733333333126,1.4777459999999623
7,tilt,0.0331673333333328,1.0134619999999648
8,translate,0.039128000000001655,1.2054984999999925
9,zoom_blur,0.045155333333338654,1.0942973333332828
