,Corruption,FP,T5D
0,brightness,0.020621999999999124,0.9614633333332905
1,gaussian_noise,0.0814293333333355,3.065417333333296
2,motion_blur,0.034592666666666126,1.2843533333333153
3,rotate,0.05502733333333258,2.2304033333333027
4,scale,0.09248400000000283,3.0684586666666056
5,shot_noise,0.09404533333333671,3.411726666666652
6,snow,0.0395946666666661,1.6682553333333083
7,tilt,0.03232933333333299,1.4349339999999615
8,translate,0.04242150000000098,1.8574170000000028
9,zoom_blur,0.03365199999999839,1.1800666666666355
