,Corruption,FP,T5D
0,brightness,0.1472513333333328,2.7730513333333127
1,gaussian_noise,0.0182999999999998,0.39407266666667046
2,motion_blur,0.009290666666666995,0.19874400000000522
3,rotate,0.02765133333333182,0.5826146666666558
4,scale,0.11863133333334162,2.23692133333329
5,shot_noise,0.028529333333332903,0.5904780000000062
6,snow,0.0026760000000000004,0.059293999999998265
7,tilt,0.01803333333333271,0.38006133333334613
8,translate,0.019080500000001527,0.4031909999999495
9,zoom_blur,0.011508000000000016,0.24978333333332808
