,Corruption,FP,T5D
0,brightness,0.11679799999999027,2.3743979999999603
1,gaussian_noise,0.02010266666666645,0.46933866666667284
2,motion_blur,0.008204000000000301,0.20097933333333654
3,rotate,0.02238733333333271,0.5500046666666576
4,scale,0.08543400000000509,1.6622946666666085
5,shot_noise,0.02862533333333293,0.7080873333333446
6,snow,0.002558666666666679,0.07814133333333408
7,tilt,0.014740666666666787,0.3634593333333455
8,translate,0.0163225000000007,0.4077259999999508
9,zoom_blur,0.010386000000000312,0.26043599999999933
