,Corruption,FP,T5D
0,brightness,0.10211600000002069,2.002071999999947
1,gaussian_noise,0.015863999999999896,0.341828666666671
2,motion_blur,0.007427333333333625,0.19574866666666974
3,rotate,0.02295466666666581,0.5704159999999945
4,scale,0.06872133333334478,1.5177106666666225
5,shot_noise,0.022386666666666437,0.4681386666666697
6,snow,0.0027626666666666676,0.06510599999999915
7,tilt,0.01493466666666698,0.36744066666667735
8,translate,0.01580650000000017,0.38887199999995353
9,zoom_blur,0.008723333333333872,0.22677733333333264
