,Corruption,FP,T5D
0,brightness,0.012622000000000164,0.9084206666666116
1,gaussian_noise,0.06775666666666748,3.4961526666666205
2,motion_blur,0.023987333333332885,1.1353279999999777
3,rotate,0.02829133333333342,1.5794273333332938
4,scale,0.046716666666669175,2.031430666666644
5,shot_noise,0.07297266666666809,3.669853999999928
6,snow,0.03267666666666638,2.304037999999969
7,tilt,0.018442666666666812,1.172583999999972
8,translate,0.01871150000000009,1.1584224999999622
9,zoom_blur,0.019531333333332294,1.0423373333332897
