,Corruption,FP,T5D
0,brightness,0.011702666666666788,0.9538226666666133
1,gaussian_noise,0.06086933333333365,3.5519799999998978
2,motion_blur,0.02138199999999982,1.1239826666666468
3,rotate,0.024893333333333316,1.5383066666666263
4,scale,0.041338000000001415,1.8965846666666206
5,shot_noise,0.06495866666666701,3.7273839999998994
6,snow,0.03038999999999985,2.3626639999999495
7,tilt,0.01641666666666692,1.1545513333333026
8,translate,0.01537050000000003,1.0526364999999476
9,zoom_blur,0.016645999999999755,1.0984146666666392
