,Corruption,FP,T5D
0,brightness,0.016482666666666573,0.7111013333332967
1,gaussian_noise,0.08764333333333639,3.176289999999943
2,motion_blur,0.03215066666666551,1.1396573333333018
3,rotate,0.0400473333333333,1.6525253333332661
4,scale,0.07266933333333722,2.4603073333333203
5,shot_noise,0.10386000000000505,3.579631999999997
6,snow,0.03463933333333275,1.23290533333331
7,tilt,0.02373666666666636,1.0531213333333067
8,translate,0.02854500000000043,1.284972499999985
9,zoom_blur,0.027418666666663,0.9112253333332878
