,Corruption,FP,T5D
0,brightness,0.02058933333333214,0.8046933333332847
1,gaussian_noise,0.10045800000000357,3.3500599999999623
2,motion_blur,0.03599599999999946,1.1930159999999663
3,rotate,0.045200666666666604,1.7032086666666428
4,scale,0.08796200000000289,2.6527086666666233
5,shot_noise,0.1233346666666738,3.8743793333332928
6,snow,0.04709533333333215,1.4359833333333194
7,tilt,0.028058666666666274,1.1206593333333024
8,translate,0.034714000000000876,1.4164139999999619
9,zoom_blur,0.030801999999995416,0.9525699999999534
