,Corruption,FP,T5D
0,brightness,0.7413199999999952,11.141080666666376
1,gaussian_noise,0.7403146666666514,11.126809999999871
2,motion_blur,0.7128539999999848,10.747464666666376
3,rotate,0.7401899999999878,11.128874666666281
4,scale,0.7474899999999876,11.19228266666632
5,shot_noise,0.7416199999999906,11.143531999999746
6,snow,0.736818666666651,11.12307733333295
7,tilt,0.7393919999999926,11.123061999999706
8,translate,0.7401949999998507,11.130025500000084
9,zoom_blur,0.7361453333333229,11.08625199999965
