,Corruption,FP,T5D
0,brightness,0.02896199999999722,1.2874639999999735
1,gaussian_noise,0.10219200000000378,3.9899719999999816
2,motion_blur,0.04369866666666695,1.6448406666666258
3,rotate,0.05601133333333335,2.507485333333279
4,scale,0.09420733333333603,3.390161999999976
5,shot_noise,0.11870733333333959,4.446816666666646
6,snow,0.04789933333333263,1.768842666666647
7,tilt,0.03482666666666661,1.6955246666666073
8,translate,0.04318700000000078,2.1071465000000074
9,zoom_blur,0.03736866666666706,1.3309679999999697
