,Corruption,FP,T5D
0,brightness,0.01591466666666673,1.9815846666666235
1,gaussian_noise,0.059342000000000526,4.9449693333334235
2,motion_blur,0.028049333333332836,2.0824426666666405
3,rotate,0.032469999999999936,2.9274146666666256
4,scale,0.06145933333333978,3.436134666666589
5,shot_noise,0.07552733333333493,5.108028000000069
6,snow,0.02783599999999996,2.4347659999999576
7,tilt,0.022072666666666595,2.3134839999999404
8,translate,0.023073000000000284,2.4056800000000207
9,zoom_blur,0.025621999999998174,2.1564573333332806
