,Corruption,FP,T5D
0,brightness,0.1194406666666707,2.2831853333332903
1,gaussian_noise,0.03178999999999962,0.6652166666666616
2,motion_blur,0.01652799999999974,0.34350333333333843
3,rotate,0.08365666666667075,1.5909126666666085
4,scale,0.2921799999999931,4.525951999999961
5,shot_noise,0.026979999999999695,0.5678766666666584
6,snow,0.013202666666667107,0.27191133333334017
7,tilt,0.049646000000004624,0.9764479999999501
8,translate,0.06888450000001574,1.3133519999999816
9,zoom_blur,0.01615999999999911,0.3384240000000078
