,Corruption,FP,T5D
0,brightness,0.01471400000000008,1.063445333333309
1,gaussian_noise,0.06990800000000126,3.3165733333332996
2,motion_blur,0.02442333333333307,1.1878126666666362
3,rotate,0.0316166666666667,1.6818993333333123
4,scale,0.04891266666666897,2.1038746666666284
5,shot_noise,0.07375733333333517,3.5248873333333033
6,snow,0.028184000000000216,2.553883999999948
7,tilt,0.021516000000000184,1.2964459999999507
8,translate,0.022276500000000168,1.3232859999999718
9,zoom_blur,0.02255133333333186,1.3009953333333064
