,Corruption,FP,T5D
0,brightness,0.013306000000000104,1.003204666666623
1,gaussian_noise,0.061440000000000224,3.423573999999946
2,motion_blur,0.0217486666666665,1.173462666666629
3,rotate,0.026958666666666836,1.6051573333332956
4,scale,0.0415553333333343,1.8383853333332878
5,shot_noise,0.06382400000000063,3.478865333333277
6,snow,0.02477933333333345,2.2125213333332954
7,tilt,0.019154000000000174,1.231494666666631
8,translate,0.019120500000000082,1.1940349999999509
9,zoom_blur,0.02083933333333233,1.2898986666666448
