,Corruption,FP,T5D
0,brightness,0.03696133333333369,1.1193173333332984
1,gaussian_noise,0.11845933333333658,3.278082666666673
2,motion_blur,0.05910000000000128,1.5891866666666354
3,rotate,0.08697266666666909,2.4816813333332823
4,scale,0.14337866666667162,3.4527113333332866
5,shot_noise,0.1399840000000043,3.754462666666643
6,snow,0.07351466666666807,1.881728666666631
7,tilt,0.05281066666666696,1.6391386666666274
8,translate,0.06939100000000349,2.1362669999999966
9,zoom_blur,0.049944666666671085,1.3428826666666245
