,Corruption,FP,T5D
0,brightness,0.018153999999999556,0.7775259999999641
1,gaussian_noise,0.06967733333333444,2.5331386666666162
2,motion_blur,0.03457866666666638,1.2269266666666396
3,rotate,0.039165999999999854,1.577137333333292
4,scale,0.06086266666667061,2.1211453333332897
5,shot_noise,0.07546666666666847,2.7017993333333123
6,snow,0.05029199999999894,1.6025859999999734
7,tilt,0.02475733333333326,1.0781719999999697
8,translate,0.031236000000000454,1.3186544999999734
9,zoom_blur,0.029217999999997427,1.0128693333332999
