,Corruption,FP,T5D
0,brightness,0.025027333333331594,1.0452659999999674
1,gaussian_noise,0.1109613333333382,3.8013239999999464
2,motion_blur,0.053468000000000494,1.7522373333333021
3,rotate,0.054351999999999866,2.162821333333287
4,scale,0.08575933333333592,2.87827133333332
5,shot_noise,0.12914133333334007,4.2535420000000075
6,snow,0.06807599999999998,2.080325333333296
7,tilt,0.033006666666666615,1.4570146666666315
8,translate,0.04043950000000074,1.7693844999999888
9,zoom_blur,0.03844666666666789,1.2811026666666274
