,Corruption,FP,T5D
0,brightness,0.015121333333333384,1.0172879999999593
1,gaussian_noise,0.08601666666666956,4.957499999999982
2,motion_blur,0.025169999999999533,1.113559333333301
3,rotate,0.034898666666666495,1.7140279999999688
4,scale,0.05434533333333568,2.1675186666666284
5,shot_noise,0.09161600000000378,4.6980913333333065
6,snow,0.0305866666666663,1.6852899999999642
7,tilt,0.022716666666666607,1.2892633333332955
8,translate,0.02637150000000026,1.4224149999999665
9,zoom_blur,0.02414199999999819,1.301267333333295
