,Corruption,FP,T5D
0,brightness,0.5051333333332614,8.060415999999984
1,gaussian_noise,0.5336100000001385,8.514224000000299
2,motion_blur,0.20029599999999623,3.5419933333332816
3,rotate,0.31843266666665965,5.487614666666699
4,scale,0.5522866666666003,8.751910666666733
5,shot_noise,0.5630333333334958,8.953182666666779
6,snow,0.3144206666666617,5.244172
7,tilt,0.22371199999999278,3.975480666666607
8,translate,0.28021999999997954,4.9155065000000935
9,zoom_blur,0.17044866666667444,3.0842953333333036
