,Corruption,FP,T5D
0,brightness,0.016318666666666485,0.9184953333332944
1,gaussian_noise,0.08190666666666867,3.4668833333332705
2,motion_blur,0.027312666666665875,1.1452713333333042
3,rotate,0.03752266666666654,1.7269773333332945
4,scale,0.06086666666667016,2.27974066666666
5,shot_noise,0.09169733333333664,3.674076666666643
6,snow,0.031950666666666364,1.946913333333294
7,tilt,0.024330666666666646,1.2424093333333013
8,translate,0.027329500000000388,1.3770039999999748
9,zoom_blur,0.02553933333333109,1.1418473333333006
