,Corruption,FP,T5D
0,brightness,0.019227999999999447,0.9744119999999553
1,gaussian_noise,0.09406800000000369,3.6663333333332844
2,motion_blur,0.03200999999999925,1.2645406666666388
3,rotate,0.043587999999999835,1.9050126666666327
4,scale,0.07272266666666899,2.589734666666623
5,shot_noise,0.10534733333333754,3.935045999999958
6,snow,0.037597333333332726,1.806937999999942
7,tilt,0.028393333333332882,1.3409633333332907
8,translate,0.032708500000000404,1.5341369999999956
9,zoom_blur,0.031747999999997153,1.2467139999999588
