,Corruption,FP,T5D
0,brightness,0.01647399999999989,1.1680839999999593
1,gaussian_noise,0.09090800000000322,4.659128666666703
2,motion_blur,0.027028666666666045,1.2466253333332848
3,rotate,0.036228666666666604,1.9132493333332945
4,scale,0.0571200000000025,2.338072666666624
5,shot_noise,0.09977466666667154,4.77192600000005
6,snow,0.03317866666666644,2.3575453333332828
7,tilt,0.02371866666666672,1.4194499999999672
8,translate,0.026467500000000446,1.5349534999999817
9,zoom_blur,0.024557999999997797,1.316386666666637
