,Corruption,FP,T5D
0,brightness,0.014843999999999991,1.1215866666666399
1,gaussian_noise,0.08194133333333577,4.925676000000077
2,motion_blur,0.025991333333332783,1.260672666666635
3,rotate,0.03327933333333318,1.8409413333332827
4,scale,0.05271266666666899,2.2940333333333123
5,shot_noise,0.0933046666666704,4.858819333333356
6,snow,0.027575333333333136,2.091477333333292
7,tilt,0.02183400000000005,1.3833173333333026
8,translate,0.02409500000000022,1.4673279999999633
9,zoom_blur,0.02238733333333171,1.3435539999999624
